--------------------------Start  NSGA2  optimization--------------------------
A new study created in memory with name: algs_para_setting
Trial 7 finished with best value: 0.6390993363287655 and parameters: {'crossover_prob': 0.9575593971029379, 'crossover_eta': 8, 'mutation_prob': 0.5852023929910503, 'mutation_eta': 7, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. 
Trial 27 finished with value: 0.7014834566735064 and parameters: {'crossover_prob': 0.9974007284833883, 'crossover_eta': 13, 'mutation_prob': 0.46909726542011415, 'mutation_eta': 3, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 25 finished with value: 0.7178665371719072 and parameters: {'crossover_prob': 0.9883144965952625, 'crossover_eta': 20, 'mutation_prob': 0.348413486919962, 'mutation_eta': 3, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 26 finished with value: 0.7142631646869498 and parameters: {'crossover_prob': 0.9771678969469083, 'crossover_eta': 14, 'mutation_prob': 0.4535818066100259, 'mutation_eta': 3, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 28 finished with value: 0.6613564581540009 and parameters: {'crossover_prob': 0.9862886352888073, 'crossover_eta': 18, 'mutation_prob': 0.4455501740810945, 'mutation_eta': 3, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 29 finished with value: 0.7073082572691056 and parameters: {'crossover_prob': 0.9470356930585413, 'crossover_eta': 17, 'mutation_prob': 0.018146621844484345, 'mutation_eta': 4, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 31 finished with value: 0.7756344032846556 and parameters: {'crossover_prob': 0.9926396474241338, 'crossover_eta': 21, 'mutation_prob': 0.05046141364762524, 'mutation_eta': 3, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 30 finished with value: 0.7268928885217613 and parameters: {'crossover_prob': 0.8904139981270659, 'crossover_eta': 20, 'mutation_prob': 0.01711675046427452, 'mutation_eta': 3, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 24 finished with value: 3.3668057882337776 and parameters: {'crossover_prob': 0.0036159071119807873, 'crossover_eta': 29, 'mutation_prob': 0.7761394039214068, 'mutation_eta': 6, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 33 finished with value: 0.6633841822996316 and parameters: {'crossover_prob': 0.9949818984911383, 'crossover_eta': 21, 'mutation_prob': 0.07707339310925054, 'mutation_eta': 4, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 32 finished with value: 0.7119540116544283 and parameters: {'crossover_prob': 0.9753192973402098, 'crossover_eta': 20, 'mutation_prob': 0.027529862436628583, 'mutation_eta': 3, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 22 finished with value: 0.8179880853724667 and parameters: {'crossover_prob': 0.3733915013613719, 'crossover_eta': 17, 'mutation_prob': 0.20366353998239228, 'mutation_eta': 4, 'sampling': 'FloatRandomSampling', 'selection': 'RandomSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 34 finished with value: 0.671618696851396 and parameters: {'crossover_prob': 0.9792281802359268, 'crossover_eta': 12, 'mutation_prob': 0.079734775310348, 'mutation_eta': 3, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 35 finished with value: 0.6661263947511917 and parameters: {'crossover_prob': 0.99227735897, 'crossover_eta': 19, 'mutation_prob': 0.11043769705382955, 'mutation_eta': 24, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 39 finished with value: 0.6248471043901455 and parameters: {'crossover_prob': 0.8488669924701433, 'crossover_eta': 12, 'mutation_prob': 0.6762894701670696, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 39 finished with best value: 0.6248471043901455 and parameters: {'crossover_prob': 0.8488669924701433, 'crossover_eta': 12, 'mutation_prob': 0.6762894701670696, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. 
Trial 36 finished with value: 0.6252271317665082 and parameters: {'crossover_prob': 0.849671035080682, 'crossover_eta': 12, 'mutation_prob': 0.05760974868468338, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 37 finished with value: 0.6821816158305041 and parameters: {'crossover_prob': 0.8465882102019991, 'crossover_eta': 11, 'mutation_prob': 0.5824117714585775, 'mutation_eta': 7, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 40 finished with value: 0.7733680004604282 and parameters: {'crossover_prob': 0.849958793899797, 'crossover_eta': 12, 'mutation_prob': 0.5834272201748981, 'mutation_eta': 7, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 38 finished with value: 0.6268499519850224 and parameters: {'crossover_prob': 0.8389523921013915, 'crossover_eta': 11, 'mutation_prob': 0.5794341475239215, 'mutation_eta': 7, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 43 finished with value: 0.6826011962122724 and parameters: {'crossover_prob': 0.835272263697248, 'crossover_eta': 12, 'mutation_prob': 0.5900182501412852, 'mutation_eta': 22, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 41 finished with value: 0.656964522282843 and parameters: {'crossover_prob': 0.8349814249793821, 'crossover_eta': 12, 'mutation_prob': 0.5791397301874059, 'mutation_eta': 7, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 42 finished with value: 0.6318525372434758 and parameters: {'crossover_prob': 0.814897723064343, 'crossover_eta': 11, 'mutation_prob': 0.5537698076003073, 'mutation_eta': 8, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 44 finished with value: 0.683816817836544 and parameters: {'crossover_prob': 0.803508258811118, 'crossover_eta': 11, 'mutation_prob': 0.5671990187259952, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 45 finished with value: 0.7590133960925829 and parameters: {'crossover_prob': 0.8476476574439603, 'crossover_eta': 12, 'mutation_prob': 0.5780414377576303, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 46 finished with value: 0.6976826261987055 and parameters: {'crossover_prob': 0.8393230306701204, 'crossover_eta': 11, 'mutation_prob': 0.599339165997038, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 47 finished with value: 0.6735144745375722 and parameters: {'crossover_prob': 0.8306591134793392, 'crossover_eta': 11, 'mutation_prob': 0.5560808312596898, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 48 finished with value: 0.7411022990129243 and parameters: {'crossover_prob': 0.8192865393449251, 'crossover_eta': 11, 'mutation_prob': 0.5642743900743044, 'mutation_eta': 8, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 51 finished with value: 0.7460656586891464 and parameters: {'crossover_prob': 0.8122378373194872, 'crossover_eta': 7, 'mutation_prob': 0.8393317322862176, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 50 finished with value: 0.7047806908928077 and parameters: {'crossover_prob': 0.8317722578427946, 'crossover_eta': 8, 'mutation_prob': 0.5380668187669783, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 49 finished with value: 0.6524906724176686 and parameters: {'crossover_prob': 0.8249832218457489, 'crossover_eta': 11, 'mutation_prob': 0.5791496411024072, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 52 finished with value: 0.6700056870169286 and parameters: {'crossover_prob': 0.8097108111598066, 'crossover_eta': 8, 'mutation_prob': 0.8266397207671098, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 39 with value: 0.6248471043901455.
Trial 53 finished with value: 0.6199624326176477 and parameters: {'crossover_prob': 0.8058436218832695, 'crossover_eta': 8, 'mutation_prob': 0.8457577894828784, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 53 with value: 0.6199624326176477.
Trial 53 finished with best value: 0.6199624326176477 and parameters: {'crossover_prob': 0.8058436218832695, 'crossover_eta': 8, 'mutation_prob': 0.8457577894828784, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. 
Trial 19 finished with value: 0.976670184889312 and parameters: {'crossover_prob': 0.10315228369873419, 'crossover_eta': 24, 'mutation_prob': 0.2711799335859175, 'mutation_eta': 8, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 53 with value: 0.6199624326176477.
Trial 54 finished with value: 0.6197490814338504 and parameters: {'crossover_prob': 0.7779860983230351, 'crossover_eta': 7, 'mutation_prob': 0.8119322673317427, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 54 finished with best value: 0.6197490814338504 and parameters: {'crossover_prob': 0.7779860983230351, 'crossover_eta': 7, 'mutation_prob': 0.8119322673317427, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. 
Trial 4 finished with value: 1.050439992834509 and parameters: {'crossover_prob': 0.11278236896687888, 'crossover_eta': 29, 'mutation_prob': 0.13252937217759853, 'mutation_eta': 17, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 55 finished with value: 0.6616048231245334 and parameters: {'crossover_prob': 0.7864540332860497, 'crossover_eta': 8, 'mutation_prob': 0.8354511880564567, 'mutation_eta': 9, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 57 finished with value: 0.7625960374216879 and parameters: {'crossover_prob': 0.7824416332343163, 'crossover_eta': 8, 'mutation_prob': 0.5318432320561944, 'mutation_eta': 10, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 58 finished with value: 0.6859529786481725 and parameters: {'crossover_prob': 0.7721346634881296, 'crossover_eta': 8, 'mutation_prob': 0.524548995271894, 'mutation_eta': 13, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 60 finished with value: 0.662124855068018 and parameters: {'crossover_prob': 0.7590454189469279, 'crossover_eta': 8, 'mutation_prob': 0.6929540888212625, 'mutation_eta': 12, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 56 finished with value: 0.6685663393977642 and parameters: {'crossover_prob': 0.6515837292065012, 'crossover_eta': 7, 'mutation_prob': 0.6578339565832241, 'mutation_eta': 10, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 59 finished with value: 0.6203678820857661 and parameters: {'crossover_prob': 0.7674761448226597, 'crossover_eta': 8, 'mutation_prob': 0.6949816824620392, 'mutation_eta': 12, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 61 finished with value: 0.7677210175673225 and parameters: {'crossover_prob': 0.772883500164995, 'crossover_eta': 9, 'mutation_prob': 0.6858405969150531, 'mutation_eta': 13, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 63 finished with value: 0.6415090924684137 and parameters: {'crossover_prob': 0.9265120732951126, 'crossover_eta': 9, 'mutation_prob': 0.6521317233073755, 'mutation_eta': 12, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 21 finished with value: 1.6241713960922555 and parameters: {'crossover_prob': 0.07919322536531315, 'crossover_eta': 11, 'mutation_prob': 0.21512177535899146, 'mutation_eta': 28, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 66 finished with value: 0.7166405311924611 and parameters: {'crossover_prob': 0.9320922785195906, 'crossover_eta': 9, 'mutation_prob': 0.6460107469368094, 'mutation_eta': 13, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 62 finished with value: 0.6516844258126232 and parameters: {'crossover_prob': 0.6822706722014633, 'crossover_eta': 9, 'mutation_prob': 0.6378253480289693, 'mutation_eta': 11, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 65 finished with value: 0.7274321317373847 and parameters: {'crossover_prob': 0.6680571492003077, 'crossover_eta': 9, 'mutation_prob': 0.6580190558033456, 'mutation_eta': 12, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 64 finished with value: 0.8252872960346821 and parameters: {'crossover_prob': 0.7537612218658388, 'crossover_eta': 9, 'mutation_prob': 0.6487943675289751, 'mutation_eta': 13, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 67 finished with value: 0.6541932112986675 and parameters: {'crossover_prob': 0.7709560289135361, 'crossover_eta': 5, 'mutation_prob': 0.6544682089886571, 'mutation_eta': 11, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 68 finished with value: 0.7261988648221764 and parameters: {'crossover_prob': 0.7687506648279612, 'crossover_eta': 6, 'mutation_prob': 0.6582059854504204, 'mutation_eta': 13, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 69 finished with value: 0.6825427093071142 and parameters: {'crossover_prob': 0.696035078624317, 'crossover_eta': 4, 'mutation_prob': 0.6457331033756215, 'mutation_eta': 12, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 70 finished with value: 0.7364132493159647 and parameters: {'crossover_prob': 0.703389498962419, 'crossover_eta': 5, 'mutation_prob': 0.6574940424074291, 'mutation_eta': 13, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 71 finished with value: 0.7545362784774275 and parameters: {'crossover_prob': 0.6988984718022471, 'crossover_eta': 6, 'mutation_prob': 0.693661469880182, 'mutation_eta': 11, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 72 finished with value: 0.6321220779747878 and parameters: {'crossover_prob': 0.7057644060973103, 'crossover_eta': 5, 'mutation_prob': 0.6396981364289595, 'mutation_eta': 5, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 75 finished with value: 0.733654303413875 and parameters: {'crossover_prob': 0.7068616452636974, 'crossover_eta': 3, 'mutation_prob': 0.7244957567782098, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 23 finished with value: 0.735070466662242 and parameters: {'crossover_prob': 0.13909902179502076, 'crossover_eta': 20, 'mutation_prob': 0.026425845653202718, 'mutation_eta': 21, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 73 finished with value: 0.6403702295921868 and parameters: {'crossover_prob': 0.7166034713839065, 'crossover_eta': 5, 'mutation_prob': 0.628087654253362, 'mutation_eta': 5, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 74 finished with value: 0.6463384077090528 and parameters: {'crossover_prob': 0.7216011368701214, 'crossover_eta': 4, 'mutation_prob': 0.6341433090779955, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 76 finished with value: 0.6547871765545422 and parameters: {'crossover_prob': 0.7291115689068248, 'crossover_eta': 4, 'mutation_prob': 0.7271456657642212, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 77 finished with value: 0.6705749156637945 and parameters: {'crossover_prob': 0.7058850685892022, 'crossover_eta': 5, 'mutation_prob': 0.6357850409848371, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 80 finished with value: 0.6547579911920637 and parameters: {'crossover_prob': 0.7250908710686543, 'crossover_eta': 5, 'mutation_prob': 0.7460612993511232, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 82 finished with value: 0.6764008406729409 and parameters: {'crossover_prob': 0.883268967718393, 'crossover_eta': 5, 'mutation_prob': 0.7348063469315776, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 79 finished with value: 0.792712130965535 and parameters: {'crossover_prob': 0.7294516479927443, 'crossover_eta': 5, 'mutation_prob': 0.7228648302593785, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 78 finished with value: 0.6968362370776922 and parameters: {'crossover_prob': 0.7336755197233571, 'crossover_eta': 5, 'mutation_prob': 0.7088754383321804, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 84 finished with value: 0.8983078653677002 and parameters: {'crossover_prob': 0.8952019993368896, 'crossover_eta': 14, 'mutation_prob': 0.7344188829643751, 'mutation_eta': 5, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 81 finished with value: 0.6643994312878065 and parameters: {'crossover_prob': 0.7154330752188031, 'crossover_eta': 5, 'mutation_prob': 0.7261106718240229, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 83 finished with value: 0.7360008032879788 and parameters: {'crossover_prob': 0.8791063866895931, 'crossover_eta': 14, 'mutation_prob': 0.7134018972645921, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 87 finished with value: 0.6598868448600167 and parameters: {'crossover_prob': 0.8688243369603811, 'crossover_eta': 14, 'mutation_prob': 0.7317976142671868, 'mutation_eta': 5, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 85 finished with value: 0.6922065211149524 and parameters: {'crossover_prob': 0.8666081723705633, 'crossover_eta': 15, 'mutation_prob': 0.7508516077105287, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 86 finished with value: 0.7420490733677009 and parameters: {'crossover_prob': 0.8707012870517737, 'crossover_eta': 14, 'mutation_prob': 0.7404058148901147, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 88 finished with value: 0.7003360218726238 and parameters: {'crossover_prob': 0.8735594270221809, 'crossover_eta': 14, 'mutation_prob': 0.6142584887957717, 'mutation_eta': 5, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 89 finished with value: 0.691998498614981 and parameters: {'crossover_prob': 0.8750843273260248, 'crossover_eta': 15, 'mutation_prob': 0.7383247519614492, 'mutation_eta': 5, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 90 finished with value: 0.6838649039878383 and parameters: {'crossover_prob': 0.8716942109652025, 'crossover_eta': 14, 'mutation_prob': 0.7338360040545047, 'mutation_eta': 6, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 91 finished with value: 0.6830298210740459 and parameters: {'crossover_prob': 0.8770439530468788, 'crossover_eta': 13, 'mutation_prob': 0.6128043634912765, 'mutation_eta': 5, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 92 finished with value: 0.6876270554867863 and parameters: {'crossover_prob': 0.8802150843804954, 'crossover_eta': 13, 'mutation_prob': 0.49956110612133126, 'mutation_eta': 5, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 94 finished with value: 0.6395223294108654 and parameters: {'crossover_prob': 0.8745263339346752, 'crossover_eta': 14, 'mutation_prob': 0.6120911318696372, 'mutation_eta': 5, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 54 with value: 0.6197490814338504.
Trial 93 finished with value: 0.6791241819359733 and parameters: {'crossover_prob': 0.8847964152468025, 'crossover_eta': 15, 'mutation_prob': 0.6116049036423192, 'mutation_eta': 8, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 54 with value: 0.6197490814338504.
