LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
527,81110,105521,9428,INFO,dfs.DataNode$PacketResponder,Received block blk_-2141627858612526069 of size 67108864 from /10.251.111.37,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},152,15,Received block {size} from {ip},155,10,Received block {block} of size {size} from {address},154,15,Received block {block} of size {size} from {ip},155,15,Received block {block} of size {size} from {peer},153,16,Received block {block} of size {size} from {host},153,16,Received block <*> of size <*> from <*>,Received block <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>
528,81110,105553,9531,INFO,dfs.DataNode$DataXceiver,Receiving block blk_5272731391668336674 src: /10.250.6.191:46509 dest: /10.250.6.191:50010,E13,Receiving block <*> src: <*> dest: <*>,Receiving block {block} src: {src} dest: {dest},170,18,Receiving block {src} src: {src} dest: {dest},171,17,Receiving block {block} src: {src} dest: {dest},170,17,Receiving block {block} src: {src} dest: {dest},171,17,Receiving block {block} src: {src} dest: {dest},169,17,Receiving block {block} src: {src} dest: {dest},169,17,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>
529,81110,105607,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.39.179:50010 is added to blk_5491101910066444061 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* {system}.addStoredBlock: blockMap updated: {host} is added to {block} size {size},171,28,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{size},174,30,BLOCK* {system} {operation}: {blockMap} updated: {address} is added to {block} size {size},173,29,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},174,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{block} size {size},171,33,BLOCK* {nameSystem}.addStoredBlock: {blockMap} updated: {ip}:{port} is added to {blk} size {size},171,36,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*>,BLOCK* <*> <*>: <*> updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*>.addStoredBlock: <*> updated: <*> is added to <*> size <*>
530,81110,105628,19,INFO,dfs.FSDataset,Deleting block blk_5075966182561035053 file /mnt/hadoop/dfs/data/current/subdir53/blk_5075966182561035053,E9,Deleting block <*> file <*>,Deleting block {block} file {file},168,12,Deleting block {file} from {path}.,170,12,Deleting block {block} file {file},169,12,Deleting block {block} file {file},170,12,Deleting block {block} file {file},167,11,Deleting block {block} file {file},167,11,Deleting block <*> file <*>,Deleting block <*> from <*>.,Deleting block <*> file <*>,Deleting block <*> file <*>,Deleting block <*> file <*>,Deleting block <*> file <*>
531,81110,105910,9510,INFO,dfs.DataNode$PacketResponder,Received block blk_-5421365489363678155 of size 67108864 from /10.251.122.38,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},152,15,Received block {size} bytes from {ip_address}.,155,13,Received block {block} of size {size} from {address},154,15,Received block {block} of size {size} from {ip},155,15,Received block {block} of size {size} from {ip},153,16,Received block {block} of size {size} from {host},153,16,Received block <*> of size <*> from <*>,Received block <*> bytes from <*>.,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>
532,81110,105927,9498,INFO,dfs.DataNode$PacketResponder,Received block blk_2294700909811950327 of size 67108864 from /10.251.90.64,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},151,15,Received block {size} of size {size} from {sender},153,15,Received block {block} of size {size} from {address},152,15,Received block {block} of size {size} from {sender},153,15,Received block {block} of size {size} from {source},152,16,Received block {block} of size {size} from {ip},152,16,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>
533,81110,110021,9609,INFO,dfs.DataNode$PacketResponder,Received block blk_7224257732880626802 of size 67108864 from /10.251.122.79,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},152,15,Received block {size} from {source},154,10,Received block {block} of size {size} from {address},153,15,Received block {block} of size {size} from {sender},154,15,Received block {block} of size {size} from {ip},153,16,Received block {block} of size {size} from {source},153,16,Received block <*> of size <*> from <*>,Received block <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>
534,81110,110036,9429,INFO,dfs.DataNode$PacketResponder,Received block blk_-8049908920306758342 of size 67108864 from /10.251.73.220,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},152,15,Received block {size} from {ip},155,10,Received block {block} of size {size} from {address},154,15,Received block {block} of size {size} from {ip},155,15,Received block {block} of size {size} from {source},153,16,Received block {block} of size {size} from {peerIpAddress},153,18,Received block <*> of size <*> from <*>,Received block <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>
535,81110,110055,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_-6582383997201802925 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* {system}.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},170,31,BLOCK* {stored_block} is added to blk_{size},174,18,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip} is added to {block}.size {size},173,29,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},174,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{blockId} size {size},170,34,BLOCK* {nameSystem}.addStoredBlock: {blockMap} updated: {ip}:{port} is added to {blk} size {size},170,36,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*> is added to <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*>.size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*>.addStoredBlock: <*> updated: <*> is added to <*> size <*>
536,81110,110059,9428,INFO,dfs.DataNode$PacketResponder,Received block blk_6746178639682808096 of size 67108864 from /10.251.125.174,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},153,15,Received block {size} from {ip}.,155,10,Received block {block} of size {size} from {source},154,15,Received block {block} of size {size} from {ip},155,15,Received block {block} of size {size} from {source},154,16,Received block {block} of size {size} from {ip}.,154,18,Received block <*> of size <*> from <*>,Received block <*> from <*>.,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>.
537,81110,110101,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.38.214:50010 is added to blk_-5363213609331400263 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* {service} {method}: {message} is added to {block} size {size},171,22,BLOCK* {name} System.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{size},175,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip} is added to {block} size {size},174,29,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},175,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},171,31,{name}NameSystem.addStoredBlock: {blockMap} updated: {ip}:{port} is added to {blk_}size {size},171,36,BLOCK* <*> <*>: <*> is added to <*> size <*>,BLOCK* <*> System.addStoredBlock: blockMap updated: <*> is added to <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,<*>.addStoredBlock: <*> updated: <*> is added to <*> <*>
538,81110,110155,9579,INFO,dfs.DataNode$PacketResponder,Received block blk_-5586529360624346565 of size 67108864 from /10.251.43.115,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},152,15,Received block {size} from {ip}.,155,10,Received block {block} of size {size} from {source},154,15,Received block {block} of size {size} from {ip},155,15,Received block {block} of size {size} from {address},153,16,Received block {block} of size {size} from {host},153,16,Received block <*> of size <*> from <*>,Received block <*> from <*>.,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>
539,81110,110208,9551,INFO,dfs.DataNode$PacketResponder,Received block blk_2063252936853409868 of size 67108864 from /10.251.43.192,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},152,15,Received block {size} of size {size} from {ip}.,154,15,Received block {block} of size {size} from {address},153,15,Received block {block} of size {size} from {ip},154,15,Received block {block} of size {size} from {address},153,16,Received block {block} of size {size} from {host},153,16,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>.,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>
540,81110,110324,8497,INFO,dfs.DataNode$DataXceiver,Receiving block blk_8752665860595246441 src: /10.251.70.5:44006 dest: /10.251.70.5:50010,E13,Receiving block <*> src: <*> dest: <*>,Receiving block {block} src: {src} dest: {dest},168,18,Receiving block {src} src: {dest} dest: {dest_port},169,19,Receiving block {block} from source {src} to destination {dest},168,17,Receiving block {block} src: {src} dest: {dest},169,17,Receiving block {block} src: {src} dest: {dest},167,17,Receiving block {block} from {src} to {dest},167,15,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> from source <*> to destination <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> from <*> to <*>
541,81110,110353,9313,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_2974262690755997396 terminating,E10,PacketResponder <*> for block <*> terminating,PacketResponder {responder} for block {block} terminating,134,16,PacketResponder {responder} for block {block} terminating,136,16,PacketResponder {responder} for block {block} terminating,135,16,PacketResponder {responder} for block {block} terminating,136,16,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating
542,81110,110627,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.194.213:50010 is added to blk_-7030770677241078854 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* {nameSystem} .addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},172,33,BLOCK* {storedBlock} is added to blk_{blockName} size {size},176,22,BLOCK* {block_name} is added to blk_{block_hash} size {size},175,23,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},176,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},172,31,BLOCK* {block}NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},172,34,BLOCK* <*> .addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*> is added to <*> size <*>,BLOCK* <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
543,81110,110827,9664,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_3318864983801406136 terminating,E10,PacketResponder <*> for block <*> terminating,PacketResponder {responder} for block {block} terminating,134,16,PacketResponder {responder} for block {block} terminating,136,16,PacketResponder {responder} for block {block} terminating,135,16,PacketResponder {responder} for block {block} terminating,136,16,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating
544,81110,110921,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_001197_0/part-01197. blk_-5255262711039499896,E7,BLOCK* NameSystem.allocateBlock: <*> <*>,BLOCK* NameSystem.allocateBlock: {path},182,13,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_001197_0/part-01197. {block},187,64,BLOCK* NameSystem.allocateBlock: {block},186,14,BLOCK* NameSystem.allocateBlock: {path},187,14,BLOCK* NameSystem.allocateBlock: {path},181,12,BLOCK* NameSystem.allocateBlock: {name} {blk} {size},181,19,BLOCK* NameSystem.allocateBlock: <*>,BLOCK* NameSystem.allocateBlock: <*> <*>,BLOCK* NameSystem.allocateBlock: <*>,BLOCK* NameSystem.allocateBlock: <*>,BLOCK* NameSystem.allocateBlock: <*>,BLOCK* NameSystem.allocateBlock: <*> <*> <*>
545,81110,110933,9676,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-3612946656596896413 src: /10.251.105.189:48488 dest: /10.251.105.189:50010,E13,Receiving block <*> src: <*> dest: <*>,Receiving block {block} src: {src} dest: {dest},174,18,Receiving block {src} src: {dest:port} dest: {dest:port},176,21,Receiving block {block} src: {src} dest: {dest},175,17,Receiving block {block} src: {src} dest: {dest},176,17,Receiving block {block} src: {src} dest: {dest},173,17,Receiving block {block} from {src} to {dest},173,15,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> from <*> to <*>
546,81110,110942,9749,INFO,dfs.DataNode$PacketResponder,Received block blk_8751697793900992450 of size 67108864 from /10.251.71.16,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},151,15,Received block {size} bytes from {source_ip},153,13,Received block {block} of size {size} from {source},152,15,Received block {block} of size {size} from {ip},153,15,Received block {block} of size {size} from {source},152,16,Received block {block} of size {size} from {src},152,16,Received block <*> of size <*> from <*>,Received block <*> bytes from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>
547,81110,111026,9675,INFO,dfs.DataNode$DataXceiver,Receiving block blk_5816171803790152026 src: /10.251.194.102:43940 dest: /10.251.194.102:50010,E13,Receiving block <*> src: <*> dest: <*>,Receiving block {block} src: {src} dest: {dest},174,18,Receiving block {src} from {dest},175,11,Receiving block {block} src: {src} dest: {dest},174,17,Receiving block {block} src: {src} dest: {dest},175,17,Receiving block {block} src: {src} dest: {dest},173,17,Receiving block {block} src: {src} dest: {dest},173,17,Receiving block <*> src: <*> dest: <*>,Receiving block <*> from <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>
548,81110,111043,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.66.192:50010 is added to blk_-6068587951382721748 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* {module}.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},171,31,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{blk_}-{size},175,35,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},174,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},175,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},171,31,BLOCK* {action} {host}:{port}:{protocol} {target} {size},171,21,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*>-<*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*> <*> <*> <*>
549,81110,111043,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_001353_0/part-01353. blk_5782729236964719738,E7,BLOCK* NameSystem.allocateBlock: <*> <*>,"BLOCK* NameSystem.allocateBlock: {path}'

The template of 'block blk_-6952295868487656571: data file=null' is 'block {block}: data file={datafile}'

The template of 'block blk_-6952295868487656571: not found' is 'block {block}: not found'

The template of 'block blk_-6952295868487656571: replica 0 (host x.x.x.x:50010 rack null)' is 'block {block}: replica 0 (host {host}:{port} rack {rack})'

The template of 'block blk_-6952295868487656571: replica 1 (host x.x.x.x:50010 rack null)' is 'block {block}: replica 1 (host {host}:{port} rack {rack})'

The",182,256,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_001353_0/part-01353. blk_{block},186,67,BLOCK NameSystem.allocateBlock: {block},185,13,BLOCK* NameSystem.allocateBlock: {path},186,14,BLOCK* NameSystem.allocateBlock: {path} blk_{block},181,17,"BLOCK* {nameSystem}.allocateBlock: {path}/{blockName} {blockSize} bytes, blk_{blkId}",181,32,BLOCK* NameSystem.allocateBlock: <*>' The template of 'block blk_-<*>: data file=<*>' is 'block <*>: data file=<*>' The template of 'block blk_-<*>: not found' is 'block <*>: not found' The template of 'block blk_-<*>: replica <*> (host x.x.x.x:<*> rack <*>)' is 'block <*>: replica <*> (host <*> rack <*>)' The template of 'block blk_-<*>: replica <*> (host x.x.x.x:<*> rack <*>)' is 'block <*>: replica <*> (host <*> rack <*>)' The,BLOCK* NameSystem.allocateBlock: <*> <*>,BLOCK NameSystem.allocateBlock: <*>,BLOCK* NameSystem.allocateBlock: <*>,BLOCK* NameSystem.allocateBlock: <*> <*>,"BLOCK* <*>.allocateBlock: <*>/<*> <*> bytes, <*>"
550,81110,111229,9504,INFO,dfs.DataNode$PacketResponder,Received block blk_-2856928563366064757 of size 67108864 from /10.251.42.9,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},150,15,Received block {size} bytes from {source},153,11,Received block {block} of size {size} from {host},152,15,Received block {block} of size {size} from {ip},153,15,Received block {block} of size {size} from {address},151,16,Received block {block} of size {size} from {peer},151,16,Received block <*> of size <*> from <*>,Received block <*> bytes from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>
551,81110,111248,9723,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8348114876238571434 terminating,E10,PacketResponder <*> for block <*> terminating,PacketResponder {responder} for block {block} terminating,134,16,PacketResponder {responder} for block {block} terminating,136,16,PacketResponder {responder} for block {block} terminating,135,16,PacketResponder {responder} for block {block} terminating,136,16,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating
552,81110,111308,9973,INFO,dfs.DataNode$DataXceiver,Receiving block blk_1744485040428751334 src: /10.250.5.237:52234 dest: /10.250.5.237:50010,E13,Receiving block <*> src: <*> dest: <*>,Receiving block {block} src: {src} dest: {dest},170,18,Receiving block {src} src: {dest} dest: {dest},171,17,Receiving block {block} src: {src} dest: {dest},170,17,Receiving block {block} src: {src} dest: {dest},171,17,Receiving block {block} src: {src} dest: {dest},169,17,Receiving block {block} src: {src} dest: {dest},169,17,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>
553,81110,111404,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_001495_0/part-01495. blk_-7592643790414500555,E7,BLOCK* NameSystem.allocateBlock: <*> <*>,BLOCK* NameSystem.allocateBlock: {path},182,13,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_001495_0/part-01495. {block},187,64,BLOCK* NameSystem.allocateBlock: {path} blk_-{block},186,21,BLOCK* NameSystem.allocateBlock: {path},187,14,BLOCK* NameSystem.allocateBlock: /user/{username}/{pathname}/part-{partition}{suffix}. blk_{blkid},181,31,BLOCK* {name}.{operation}: {path} {size},181,16,BLOCK* NameSystem.allocateBlock: <*>,BLOCK* NameSystem.allocateBlock: <*> <*>,BLOCK* NameSystem.allocateBlock: <*> blk_-<*>,BLOCK* NameSystem.allocateBlock: <*>,BLOCK* NameSystem.allocateBlock: <*> <*>,BLOCK* <*>: <*> <*>
554,81110,111405,9848,INFO,dfs.DataNode$PacketResponder,Received block blk_-5960135894031733009 of size 67108864 from /10.251.126.83,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},152,15,Received block {size} bytes from {ip}.,155,11,Received block {block} of size {size} from {address},154,15,Received block {block} of size {size} from {ip},155,15,Received block {block} of size {size} from {source},153,16,Received block {block} of size {size} from {host},153,16,Received block <*> of size <*> from <*>,Received block <*> bytes from <*>.,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>
555,81110,111409,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.143:50010 is added to blk_8952177028039691517 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* {system}.addStoredBlock: blockMap updated: {host}:{port} is added to {block} size {size},171,31,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{size},174,30,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip} is added to {block} size {size},173,29,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},174,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{block} size {size},171,33,BLOCK* {blockName}.{operation} : blockMap updated: {ip}:{port} is added to {blockSize} size {blockSize},171,34,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*> : blockMap updated: <*> is added to <*> size <*>
556,81110,111415,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.13.240:50010 is added to blk_939695665085237271 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* {component}.addStoredBlock: blockMap updated: {host}:{port} is added to {block} size {size},170,31,BLOCK* {name} is added to {size} at {ip}:{port},173,20,BLOCK* {name}NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{hash} size {size},172,38,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},173,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{block} size {size},170,33,"BLOCK* {name}.{method} {addr}: {size} bytes at offset {offset}, blockMap updated: {ip}:{port} is added to {blk} size {size}",170,44,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*> is added to <*> at <*>,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"BLOCK* <*> <*>: <*> bytes at offset <*>, blockMap updated: <*> is added to <*> size <*>"
557,81110,111547,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_001587_0/part-01587. blk_6374836031306809839,E7,BLOCK* NameSystem.allocateBlock: <*> <*>,"BLOCK* NameSystem.allocateBlock: {path}'

The template of 'BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811101024_0001_m_001587_0/part-01587. blk_6374836031306809839' is 'BLOCK* NameSystem.allocateBlock: {path}'

The template of 'INFO : VerifiableProperties: Verifying properties for hdfs://localhost:9000/user/root/rand/_temporary/_task_200811101024_0001_m_001587_0' is 'INFO : VerifiableProperties: Verifying properties for {path}'

The template of 'INFO : VerifiableProperties: Verifying properties for hdfs://localhost:9000/user/root/rand/_temporary/_task_200811101024_0001_m_001",182,256,BLOCK* {name}NameSystem.allocateBlock: {path}/{name}/part-{id}.blk_{id},186,30,BLOCK* NameSystem.allocateBlock: {path} {block},185,17,BLOCK* NameSystem.allocateBlock: {path},186,14,BLOCK* NameSystem.allocateBlock: /user/{user}/rand/_temporary/_task_{jobId}_{attemptId}/part-{partitionIndex}. blk_{blockId},181,40,BLOCK* {name}.{operation}: {path} {error},181,16,BLOCK* NameSystem.allocateBlock: <*>' The template of 'BLOCK* NameSystem.allocateBlock: <*> blk_6374836031306809839' is 'BLOCK* NameSystem.allocateBlock: <*>' The template of 'INFO : VerifiableProperties: Verifying properties for hdfs://localhost:9000/user/root/rand/_temporary/_task_200811101024_0001_m_001587_0' is 'INFO : VerifiableProperties: Verifying properties for <*>' The template of 'INFO : VerifiableProperties: Verifying properties for hdfs://localhost:9000/user/root/rand/_temporary/_task_200811101024_0001_m_001,BLOCK* <*>.allocateBlock: <*>/<*>/part-<*>,BLOCK* NameSystem.allocateBlock: <*> <*>,BLOCK* NameSystem.allocateBlock: <*>,BLOCK* NameSystem.allocateBlock: <*> <*>,BLOCK* <*>: <*> <*>
