LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
11,2016-09-28,04:30:31,Info,CBS,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",E39,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - E_FAIL]","SQM: Failed to start upload with file pattern: {file_pattern}, flags: {flags} [HRESULT = {hresult} - {hresult_name}]",130,39,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL].",132,58,"SQM: Failed to start upload with file pattern: {file_pattern}, flags: {flags} [HRESULT = {hresult} - {error_message}]",131,39,"SQM: Failed to start upload with file pattern: {pattern}, flags: {flags} [HRESULT = {hresult}]",132,30,"SQM: Failed to start upload with file pattern: {filepattern}, flags: 0x{flags} [HRESULT = 0x{hresult} - {errormessage}]",129,43,{0},129,4,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - <*>]","SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL].","SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - <*>]","SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*>]","SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*> - <*>]",<*>
12,2016-09-28,04:30:31,Info,CBS,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],E38,SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL],SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],106,33,SQM: Failed to start standard sample upload. [HRESULT = {HRESULT}],108,22,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL].,107,35,SQM: Failed to start standard sample upload. [HRESULT = {error code}],108,21,SQM: Failed to start standard sample upload. [HRESULT = 0x{hr} - {error}],105,26,{0},105,4,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],SQM: Failed to start standard sample upload. [HRESULT = <*>],SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL].,SQM: Failed to start standard sample upload. [HRESULT = <*>],SQM: Failed to start standard sample upload. [HRESULT = <*> - <*>],<*>
13,2016-09-28,04:30:31,Info,CBS,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",E41,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>","SQM: Queued {0} file(s) for upload with pattern: {1}, flags: {2}",114,27,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",115,41,"SQM: Queued {count} file(s) for upload with pattern: {pattern}, flags: {flags}",114,27,"SQM: Queued {num_files} file(s) for upload with pattern: {pattern}, flags: 0x{flags}",115,32,"SQM: Queued %d file(s) for upload with pattern: %s, flags: 0x%x",114,28,"SQM: Queued 0 file(s) for upload with pattern: C:\\Windows\\servicing\\sqm\\*_all.sqm, flags: 0x6",114,40,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>","SQM: Queued <*> file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6","SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>","SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>","SQM: Queued %d file(s) for upload with pattern: %s, flags: 0x%x","SQM: Queued <*> file(s) for upload with pattern: C:\\Windows\\servicing\\sqm\\*_all.sqm, flags: 0x6"
14,2016-09-28,04:30:31,Info,CBS,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],E43,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL],SQM: Warning: Failed to upload all unsent reports. [HRESULT = {HRESULT} - {HRESULT_NAME}],110,32,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL].,111,37,SQM: Warning: Failed to upload all unsent reports. [HRESULT = {0x80004005 - E_FAIL}],110,37,SQM: Warning: Failed to upload all unsent reports. [HRESULT = {errorCode}],111,24,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <{result}> - <{message}>],108,29,{SQM_ERROR},108,7,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - <*>],SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL].,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*>],SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*>],SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - <*>],<*>
15,2016-09-28,04:30:31,Info,CBS,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",E25,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",100,28,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",100,27,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",99,27,"No startup processing required, {service name} service was not set as autostart, or else a reboot is still pending.",100,27,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",101,28,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",101,28,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","No startup processing required, <*> service was not set as autostart, or else a reboot is still pending.","No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending."
16,2016-09-28,04:30:31,Info,CBS,NonStart: Checking to ensure startup processing was not required.,E26,NonStart: Checking to ensure startup processing was not required.,NonStart: Checking to ensure startup processing was not required.,86,14,NonStart: Checking to ensure startup processing was not required.,87,14,NonStart: Checking to ensure startup processing was not required.,86,14,NonStart: Checking to ensure startup processing was not required.,87,14,NonStart: Checking to ensure startup processing was not required.,88,15,NonStart: Checking to ensure startup processing was not required.,88,15,NonStart: Checking to ensure startup processing was not required.,NonStart: Checking to ensure startup processing was not required.,NonStart: Checking to ensure startup processing was not required.,NonStart: Checking to ensure startup processing was not required.,NonStart: Checking to ensure startup processing was not required.,NonStart: Checking to ensure startup processing was not required.
17,2016-09-28,04:30:31,Info,CSI,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",E5,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @<*>","00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = {0}, progress = {1}, phase = {2}, pdwDisposition = {3}",134,51,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",138,64,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",137,64,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = {flags}, progress = NULL, phase = {phase}, pdwDisposition = @{pdwDisposition})",138,56,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",135,62,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",135,62,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = <*>","<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @0xb6fd90","<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @0xb6fd90","<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @<*>)","<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @0xb6fd90","<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @0xb6fd90"
18,2016-09-28,04:30:31,Info,CSI,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""",E2,"<*> Creating NT transaction (seq <*>), objectname [<*>]""(<*>)""","00000005 Creating NT transaction (seq 1), objectname [6]""(null)""",100,27,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)"".",100,27,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""",99,26,"Creating NT transaction (seq ), objectname [(null)]",100,14,"00000005 Creating NT transaction (seq {seq}), objectname [{objectname}] ""({value})""",100,31,"00000005 Creating NT transaction (seq 1), objectname [{object_name}]",100,27,"<*> Creating NT transaction (seq <*>), objectname [<*>]""(<*>)","<*> Creating NT transaction (seq <*>), objectname [<*>]""(<*>)"".","<*> Creating NT transaction (seq <*>), objectname [<*>]""(<*>)","Creating NT transaction (seq ), objectname [(<*>)]","<*> Creating NT transaction (seq <*>), objectname [<*>] ""(<*>)","<*> Creating NT transaction (seq <*>), objectname [<*>]"
19,2016-09-28,04:30:31,Info,CSI,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214",E1,"<*> Created NT transaction (seq <*>) result <*>, handle @<*>","00000006 Created NT transaction (seq {seq}) result 0x{result}, handle @0x{handle}",110,31,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214",113,39,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214",112,39,"Created NT transaction (seq ) result , handle @0x",113,14,"{transaction_id} Created NT transaction ({seq}) result 0x{result}, handle @0x{handle}",111,27,"{time} Created NT transaction (seq {seq}) result {result}, handle @{handle}",111,22,"<*> Created NT transaction (seq <*>) result <*>, handle @<*>","<*> Created NT transaction (seq <*>) result 0x00000000, handle @0x214","<*> Created NT transaction (seq <*>) result 0x00000000, handle @0x214","Created NT transaction (seq ) result , handle @0x","<*> Created NT transaction (<*>) result <*>, handle @<*>","<*> Created NT transaction (seq <*>) result <*>, handle @<*>"
20,2016-09-28,04:30:31,Info,CSI,00000007@2016/9/27:20:30:31.462 CSI perf trace:,E3,<*> CSI perf trace:,00000007@YYYY/MM/DD:HH:mm:ss.SSS CSI perf trace:,109,30,00000007@2016/9/27:20:30:31.462 CSI perf trace:,110,37,00000007@2016/9/27:20:30:31.462 CSI perf trace:.,109,38,00000007@<date>:<time> CSI perf trace:,110,21,00000007@yyyymmdd:hh:mm:ss.SSS CSI perf trace:,110,29,00000007@2016/9/27:20:30:31.462 CSI perf trace:,110,37,<*>@YYYY/MM/DD:HH:mm:ss.SSS CSI perf trace:,<*>@2016/9/27:<*> CSI perf trace:,<*>@2016/9/27:<*> CSI perf trace:.,<*>@<date>:<time> CSI perf trace:,<*>@yyyymmdd:hh:mm:ss.SSS CSI perf trace:,<*>@2016/9/27:<*> CSI perf trace:
21,2016-09-28,04:30:31,Info,CBS,"NonStart: Success, startup processing not required as expected.",E27,"NonStart: Success, startup processing not required as expected.","NonStart: Success, startup processing not required as expected.",85,13,"NonStart: Success, startup processing not required as expected.",86,13,"NonStart: Success, startup processing not required as expected.",85,13,"NonStart: Success, startup processing not required as expected.",86,13,"NonStart: Success, startup processing not required as expected.",87,14,"{1}Success, startup processing not required as expected.",87,14,"NonStart: Success, startup processing not required as expected.","NonStart: Success, startup processing not required as expected.","NonStart: Success, startup processing not required as expected.","NonStart: Success, startup processing not required as expected.","NonStart: Success, startup processing not required as expected.","<*>, startup processing not required as expected."
22,2016-09-28,04:30:31,Info,CBS,Startup processing thread terminated normally,E47,Startup processing thread terminated normally,Startup processing thread terminated normally,81,8,Startup processing thread terminated normally,81,7,Startup processing thread terminated normally,80,7,Startup processing thread terminated normally,81,7,Startup processing thread terminated normally,81,8,Startup processing thread terminated normally,81,8,Startup processing thread terminated normally,Startup processing thread terminated normally,Startup processing thread terminated normally,Startup processing thread terminated normally,Startup processing thread terminated normally,Startup processing thread terminated normally
23,2016-09-28,04:30:31,Info,CSI,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,E4,<*> CSI Store <*> (<*>) initialized,00000008 CSI Store {store_id} ({0x0000000000{store_id}_1}) initialized,114,38,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,115,41,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,114,41,00000008 CSI Store 4991456 ({}) initialized,115,23,00000008 CSI Store %d (0x%llx) initialized,115,23,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,115,42,<*> CSI Store <*> ({<*>}) initialized,<*> CSI Store <*> (0x00000000004c29e0) initialized,<*> CSI Store <*> (0x00000000004c29e0) initialized,<*> CSI Store <*> (<*>) initialized,<*> CSI Store %d (0x%llx) initialized,<*> CSI Store <*> (0x00000000004c29e0) initialized
24,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.,E36,Session: <*> initialized by client WindowsUpdateAgent.,Session: {session_id} initialized by client WindowsUpdateAgent.,102,15,Session: {sessionId} initialized by client {clientName}.,103,14,Session: {placeholders}.,102,8,Session: {sessionId}_initialized by client {client}.,103,15,Session: {client} initialized by client {client},104,12,{Session}: {TimeStamp} initialized by client {ClientName},104,16,Session: <*> initialized by client WindowsUpdateAgent.,Session: <*> initialized by client <*>.,Session: <*>.,Session: <*> by client <*>.,Session: <*> initialized by client <*>,<*>: <*> initialized by client <*>
25,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.,E36,Session: <*> initialized by client WindowsUpdateAgent.,Session: {sessionId} initialized by client WindowsUpdateAgent.,102,14,Session: {clientName} initialized by client {agentName}.,103,14,Session: {client_name}_{client_id} initialized by client {client_name}.,102,21,Session: {sessionId}_{clientId} initialized by client {clientName}.,103,19,Session: {clientId}_{sessionId} initialized by client {clientName},104,18,Session: %s initialized by client %s.,104,12,Session: <*> initialized by client WindowsUpdateAgent.,Session: <*> initialized by client <*>.,Session: <*> initialized by client <*>.,Session: <*> initialized by client <*>.,Session: <*> initialized by client <*>,Session: %s initialized by client %s.
26,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,83,11,Warning: Unrecognized packageExtended attribute.,84,11,Warning: Unrecognized packageExtended attribute.,83,11,Warning: Unrecognized packageExtended attribute.,84,11,Warning: Unrecognized packageExtended attribute.,85,12,{packageName}Extended attribute.,85,10,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,Warning: Unrecognized packageExtended attribute.,<*> attribute.
