LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
11,-,1117942120,2005.06.04,R30-M0-N7-C:J08-U01,2005-06-04-20.28.40.767551,R30-M0-N7-C:J08-U01,RAS,KERNEL,INFO,"CE sym 20, at 0x1438f9e0, mask 0x40",E18,"CE sym <*>, at <*>, mask <*>","CE sym {sym}, at 0x{addr}, mask 0x{mask}",94,20,"CE sym 20, at 0x1438f9e0, mask 0x40",95,26,"CE sym 20, at 0x1438f9e0, mask 0x40",94,26,"CE sym {symbol}, at 0x{address}, mask 0x{mask}",95,20,"CE sym %d, at 0x%x, mask 0x%x",92,20,"{address}, {mask}",92,8,"CE sym <*>, at <*>, mask <*>","CE sym <*>, at 0x1438f9e0, mask 0x40","CE sym <*>, at 0x1438f9e0, mask 0x40","CE sym <*>, at <*>, mask <*>","CE sym %d, at 0x%x, mask 0x%x","<*>, <*>"
12,-,1117955341,2005.06.05,R25-M0-N7-C:J02-U01,2005-06-05-00.09.01.903373,R25-M0-N7-C:J02-U01,RAS,KERNEL,INFO,generating core.2275,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.2275,77,9,generating core.{core_id},78,10,generating core.{core_id},75,10,generating core.{core_id},75,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
13,-,1117955392,2005.06.05,R24-M1-N8-C:J09-U11,2005-06-05-00.09.52.516674,R24-M1-N8-C:J09-U11,RAS,KERNEL,INFO,generating core.862,E67,generating core.<*>,generating core.{core_id},76,10,generating core.{number}' where number is replaced by 862.,77,18,generating core.862,76,8,generating core.{number},77,8,generating core.{pid},74,8,generating core.{core_id},74,10,generating core.<*>,generating core.<*>' where number is replaced by <*>.,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
14,-,1117956980,2005.06.05,R24-M1-NB-C:J15-U11,2005-06-05-00.36.20.945796,R24-M1-NB-C:J15-U11,RAS,KERNEL,INFO,generating core.728,E67,generating core.<*>,generating core.{core_id},76,10,generating core.{number}' where {number} is the number from 0 to 9.,77,22,generating core.{number},76,8,generating core.{core_id},77,10,generating core.{core_id},74,10,generating core.{core_id},74,10,generating core.<*>,generating core.<*>' where <*> is the number from <*> to <*>.,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
15,-,1117957045,2005.06.05,R20-M1-N8-C:J04-U01,2005-06-05-00.37.25.012681,R20-M1-N8-C:J04-U01,RAS,KERNEL,INFO,generating core.775,E67,generating core.<*>,generating core.{core_id},76,10,generating core.{number},77,8,generating core.775,76,8,generating core.{core_id},77,10,generating core.{core_id},74,10,core.775,74,7,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
16,-,1117959501,2005.06.05,R24-M0-NE-C:J14-U11,2005-06-05-01.18.21.778604,R24-M0-NE-C:J14-U11,RAS,KERNEL,INFO,generating core.3276,E67,generating core.<*>,generating core.{core_id},77,10,generating core.3276,78,9,generating core.{placeholders},77,10,generating core.{core_id},78,10,generating core.{core_id},75,10,generating core.{core_id},75,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
17,-,1117959513,2005.06.05,R21-M1-N2-C:J11-U01,2005-06-05-01.18.33.830595,R21-M1-N2-C:J11-U01,RAS,KERNEL,INFO,generating core.1717,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.1717,77,9,generating core.{core_id},78,10,generating core.{core_id},75,10,generating core.{core_number},75,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
18,-,1117959563,2005.06.05,R24-M0-N8-C:J04-U11,2005-06-05-01.19.23.822135,R24-M0-N8-C:J04-U11,RAS,KERNEL,INFO,generating core.3919,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.3919,77,9,generating core.{core_id},78,10,generating core.{core_id},75,10,core.{0},75,6,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
19,-,1117973759,2005.06.05,R31-M0-NE-C:J05-U11,2005-06-05-05.15.59.416717,R31-M0-NE-C:J05-U11,RAS,KERNEL,INFO,generating core.2079,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.2079,77,9,generating core.{core_id},78,10,generating core.{pid},75,8,generating core.{core_number},75,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
20,-,1117973786,2005.06.05,R36-M0-NA-C:J06-U01,2005-06-05-05.16.26.686603,R36-M0-NA-C:J06-U01,RAS,KERNEL,INFO,generating core.1414,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,core.{timestamp}.{pid}.{tid},75,14,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
21,-,1117973919,2005.06.05,R33-M0-N4-C:J02-U11,2005-06-05-05.18.39.396608,R33-M0-N4-C:J02-U11,RAS,KERNEL,INFO,generating core.3055,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,generating core.{id},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
22,-,1117974206,2005.06.05,R22-M0-ND-C:J10-U11,2005-06-05-05.23.26.239153,R22-M0-ND-C:J10-U11,RAS,KERNEL,INFO,generating core.201,E67,generating core.<*>,generating core.{core_id},76,10,generating core.{number},77,8,generating core.201,76,8,generating core.{core_id},77,10,generating core.{core_id},74,10,core.201,74,7,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
23,-,1117974463,2005.06.05,R27-M0-N6-C:J10-U01,2005-06-05-05.27.43.336565,R27-M0-N6-C:J10-U01,RAS,KERNEL,INFO,generating core.1125,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,core.{0},75,6,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
24,-,1117975251,2005.06.05,R26-M1-N8-C:J17-U11,2005-06-05-05.40.51.726735,R26-M1-N8-C:J17-U11,RAS,KERNEL,INFO,generating core.412,E67,generating core.<*>,generating core.{core_id},76,10,generating core.{number},77,8,generating core.{number},76,8,generating core.{core_id},77,10,generating core.{core_id},74,10,core.{id},74,6,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
25,-,1117976658,2005.06.05,R36-M1-N8-C:J17-U01,2005-06-05-06.04.18.406158,R36-M1-N8-C:J17-U01,RAS,KERNEL,INFO,generating core.7828,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id}' where {core_id} can take any value between 0 and 9999.,78,30,generating core.{core_id},75,10,core.{core_id},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>' where <*> can take any value between <*> and <*>.,generating core.<*>,core.<*>
26,-,1117977497,2005.06.05,R33-M1-NB-C:J06-U01,2005-06-05-06.18.17.802159,R33-M1-NB-C:J06-U01,RAS,KERNEL,INFO,generating core.5570,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,core.5570,75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
27,-,1117979227,2005.06.05,R01-M1-N7-C:J04-U11,2005-06-05-06.47.07.157021,R01-M1-N7-C:J04-U11,RAS,KERNEL,INFO,generating core.8275,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,generating core.{id},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
28,-,1117982609,2005.06.05,R35-M1-NE-C:J05-U01,2005-06-05-07.43.29.979844,R35-M1-NE-C:J05-U01,RAS,KERNEL,INFO,generating core.4183,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{pid},78,8,generating core.{pid},75,8,core.{thread_id},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
29,-,1117984124,2005.06.05,R36-M1-NF-C:J11-U01,2005-06-05-08.08.44.281729,R36-M1-NF-C:J11-U01,RAS,KERNEL,INFO,generating core.6545,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,core.6545,77,7,generating core.{core_id},78,10,generating core.{pid},75,8,core.{num} generated,75,8,generating core.<*>,generating core.<*>,core.<*>,generating core.<*>,generating core.<*>,core.<*> generated
30,-,1117984130,2005.06.05,R37-M1-NE-C:J13-U01,2005-06-05-08.08.50.547117,R37-M1-NE-C:J13-U01,RAS,KERNEL,INFO,generating core.4245,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.4245,77,9,generating core.{core_id},78,10,generating core.{pid},75,8,generating core.{core_id},75,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
31,-,1117984216,2005.06.05,R32-M1-N4-C:J16-U01,2005-06-05-08.10.16.270131,R32-M1-N4-C:J16-U01,RAS,KERNEL,INFO,generating core.6884,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.6884,77,9,generating core.{core_id},78,10,generating core.{pid},75,8,core.{id},75,6,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
32,-,1117984246,2005.06.05,R30-M1-N3-C:J02-U01,2005-06-05-08.10.46.344235,R30-M1-N3-C:J02-U01,RAS,KERNEL,FATAL,force load/store alignment...............0,E64,force load/store alignment...............<*>,force load/store alignment...............{0},78,12,force load/store alignment 0,79,8,force load/store alignment...............0,78,10,force load/store alignment...............{value},79,12,force load/store alignment...............{value},88,24,{count} force load/store alignment errors,88,11,force load/store alignment...............<*>,force load/store alignment <*>,force load/store alignment...............<*>,force load/store alignment...............<*>,force load/store alignment...............<*>,<*> force load/store alignment errors
33,-,1117985401,2005.06.05,R34-M1-NE-C:J02-U01,2005-06-05-08.30.01.873693,R34-M1-NE-C:J02-U01,RAS,KERNEL,INFO,generating core.6471,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{pid},75,8,core.{core_id},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
34,-,1117985413,2005.06.05,R31-M1-N7-C:J05-U11,2005-06-05-08.30.13.824307,R31-M1-N7-C:J05-U11,RAS,KERNEL,INFO,generating core.4155,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{pid},78,8,generating core.{core_id},75,10,core.4155,75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
35,-,1117985464,2005.06.05,R32-M0-NF-C:J10-U01,2005-06-05-08.31.04.464776,R32-M0-NF-C:J10-U01,RAS,KERNEL,INFO,generating core.449,E67,generating core.<*>,generating core.{core_id},76,10,generating core.{number},77,8,generating core.449,76,8,generating core.{core_id},77,10,generating core.{core_id},74,10,generating core.{number},74,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
36,-,1117985533,2005.06.05,R34-M1-NC-C:J06-U11,2005-06-05-08.32.13.659715,R34-M1-NC-C:J06-U11,RAS,KERNEL,INFO,generating core.6990,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,core.{core_id},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
37,-,1117985547,2005.06.05,R31-M1-NC-C:J14-U11,2005-06-05-08.32.27.814949,R31-M1-NC-C:J14-U11,RAS,KERNEL,INFO,generating core.4876,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,core.{number},75,6,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
38,-,1117987420,2005.06.05,R37-M0-N7-C:J08-U11,2005-06-05-09.03.40.673488,R37-M0-N7-C:J08-U11,RAS,KERNEL,INFO,generating core.2218,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,core.2218,75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
39,-,1117988266,2005.06.05,R34-M1-NA-C:J07-U11,2005-06-05-09.17.46.225683,R34-M1-NA-C:J07-U11,RAS,KERNEL,INFO,generating core.7518,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,generating core.{0},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
40,-,1117988286,2005.06.05,R33-M1-N8-C:J09-U11,2005-06-05-09.18.06.694851,R33-M1-N8-C:J09-U11,RAS,KERNEL,INFO,generating core.5854,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number}' where {number} is the number of the core being generated.,78,21,generating core.{number},77,8,generating core.{pid},78,8,generating core.{pid},75,8,core.5854,75,8,generating core.<*>,generating core.<*>' where <*> is the number of the core being generated.,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
41,-,1117988416,2005.06.05,R30-M1-N3-C:J10-U01,2005-06-05-09.20.16.681318,R30-M1-N3-C:J10-U01,RAS,KERNEL,INFO,generating core.7457,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{core_id},75,10,generating core.{core_id},75,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
42,-,1117988443,2005.06.05,R32-M1-N5-C:J17-U01,2005-06-05-09.20.43.944594,R32-M1-N5-C:J17-U01,RAS,KERNEL,INFO,generating core.6896,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.6896,77,9,generating core.{core_id}' where {core_id} can be any integer.,78,21,generating core.{pid},75,8,generating core.{core_id},75,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>' where <*> can be any integer.,generating core.<*>,generating core.<*>
43,-,1117989483,2005.06.05,R37-M0-N3-C:J14-U01,2005-06-05-09.38.03.456120,R37-M0-N3-C:J14-U01,RAS,KERNEL,INFO,generating core.3488,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id},78,10,generating core.{pid},75,8,generating core.{number},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
44,-,1117989508,2005.06.05,R36-M0-NA-C:J17-U01,2005-06-05-09.38.28.957918,R36-M0-NA-C:J17-U01,RAS,KERNEL,INFO,generating core.1172,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,core.1172,77,7,generating core.{core_id},78,10,generating core.{core_id},75,10,core.1172,75,8,generating core.<*>,generating core.<*>,core.<*>,generating core.<*>,generating core.<*>,core.<*>
45,-,1117989530,2005.06.05,R33-M0-N6-C:J08-U11,2005-06-05-09.38.50.430385,R33-M0-N6-C:J08-U11,RAS,KERNEL,INFO,generating core.2286,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.2286,77,9,generating core.{core_id}' where core_id is an integer value between 0 and 1000000.,78,31,generating core.{core_id},75,10,core.2286,75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>' where core_id is an integer value between <*> and <*>.,generating core.<*>,core.<*>
46,-,1117989577,2005.06.05,R30-M0-ND-C:J07-U01,2005-06-05-09.39.37.590924,R30-M0-ND-C:J07-U01,RAS,KERNEL,INFO,generating core.786,E67,generating core.<*>,generating core.{core_id},76,10,generating core.{number},77,8,generating core.{number},76,8,generating core.{core_id},77,10,generating core.{core_id},74,10,core.786,74,7,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*>
47,-,1117989594,2005.06.05,R35-M0-N5-C:J17-U11,2005-06-05-09.39.54.210760,R35-M0-N5-C:J17-U11,RAS,KERNEL,INFO,generating core.2680,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{placeholder1},78,9,generating core.{core_id},75,10,core.2680 generating,75,9,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,core.<*> generating
48,-,1117989601,2005.06.05,R32-M0-N2-C:J15-U01,2005-06-05-09.40.01.191177,R32-M0-N2-C:J15-U01,RAS,KERNEL,INFO,generating core.1524,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{placeholder},78,8,generating core.{core_id},75,10,generating core.{number},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
49,-,1117989617,2005.06.05,R35-M1-ND-C:J10-U11,2005-06-05-09.40.17.352982,R35-M1-ND-C:J10-U11,RAS,KERNEL,INFO,generating core.4937,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{pid},78,8,generating core.{pid},75,8,generating core.{0},75,8,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>
50,-,1117990886,2005.06.05,R36-M1-ND-C:J13-U01,2005-06-05-10.01.26.040379,R36-M1-ND-C:J13-U01,RAS,KERNEL,INFO,generating core.6801,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,"generating core.{placeholder}'

In this case, the placeholder is 6801.",78,23,generating core.{core_id},75,10,generating core.6801,75,10,generating core.<*>,generating core.<*>,generating core.<*>,"generating core.<*>' In this case, the placeholder is <*>.",generating core.<*>,generating core.<*>
51,-,1117990951,2005.06.05,R31-M1-NF-C:J15-U01,2005-06-05-10.02.31.242619,R31-M1-NF-C:J15-U01,RAS,KERNEL,INFO,generating core.4368,E67,generating core.<*>,generating core.{core_id},77,10,generating core.{number},78,8,generating core.{number},77,8,generating core.{core_id}' where {core_id} is a placeholder for the id of the core that generated this log.,78,30,generating core.{core_id},75,10,generating core.{core_number},75,10,generating core.<*>,generating core.<*>,generating core.<*>,generating core.<*>' where <*> is a placeholder for the id of the core that generated this log.,generating core.<*>,generating core.<*>
