LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
11,Jun,15,02:04:59,combo,sshd(pam_unix),20896.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E17,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost}  user={user},198,39,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,199,55,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user},198,38,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={username},199,38,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user},200,39,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user},200,39,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>-<*>-<*>-<*>.hinet-ip.hinet.net user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
12,Jun,15,02:04:59,combo,sshd(pam_unix),20897.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E17,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost}  user={user},198,39,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,199,55,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user},198,38,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={username},199,38,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user},200,39,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user},200,39,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>-<*>-<*>-<*>.hinet-ip.hinet.net user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
13,Jun,15,02:04:59,combo,sshd(pam_unix),20898.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E17,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>  user=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost}  user={user},198,39,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,199,55,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user},198,38,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={username},199,38,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user},200,39,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost} user={user},200,39,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>-<*>-<*>-<*>.hinet-ip.hinet.net user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*> user=<*>
14,Jun,15,04:06:18,combo,su(pam_unix),21416.0,session opened for user cyrus by (uid=0),E102,session opened for user <*> by (uid=<*>),session opened for user {user} by (uid={uid}),156,14,session opened for user {username} by (uid=0),156,14,session opened for user {user} by (uid={uid}),155,14,session opened for user {username} by (uid={uid}),156,14,session opened for user {username} by (uid={uid}),156,15,session opened for user {user} by (uid={uid}),156,15,session opened for user <*> by (uid=<*>),session opened for user <*> by (uid=<*>),session opened for user <*> by (uid=<*>),session opened for user <*> by (uid=<*>),session opened for user <*> by (uid=<*>),session opened for user <*> by (uid=<*>)
15,Jun,15,04:06:19,combo,su(pam_unix),21416.0,session closed for user cyrus,E101,session closed for user <*>,session closed for user {user},151,8,session closed for user {username},151,8,session closed for user {user},150,8,session closed for user {username},151,8,session closed for user {username},151,8,session closed for user {username},151,8,session closed for user <*>,session closed for user <*>,session closed for user <*>,session closed for user <*>,session closed for user <*>,session closed for user <*>
16,Jun,15,04:06:20,combo,logrotate,,ALERT exited abnormally with [1],E8,ALERT exited abnormally with [<*>],ALERT exited abnormally with [{exit_code}],155,14,ALERT exited abnormally with [%d],156,13,"ALERT exited abnormally with [uid={uid}, euid={euid}]",155,20,ALERT exited abnormally with [{exit_code}],156,14,ALERT exited abnormally with [{exit_code}],155,15,ALERT exited abnormally with [{exit_code}],155,15,ALERT exited abnormally with [<*>],ALERT exited abnormally with [%d],"ALERT exited abnormally with [uid=<*>, euid=<*>]",ALERT exited abnormally with [<*>],ALERT exited abnormally with [<*>],ALERT exited abnormally with [<*>]
17,Jun,15,04:12:42,combo,su(pam_unix),22644.0,session opened for user news by (uid=0),E102,session opened for user <*> by (uid=<*>),session opened for user {user} by (uid={uid}),154,14,session opened for user {username} by (uid=0),155,14,session opened for user {user} by (uid={uid}),154,14,session opened for user {username} by (uid={uid}),155,14,session opened for user {username} by (uid={uid}),155,15,session opened for user {username} by {u} {tty} {hostname},155,20,session opened for user <*> by (uid=<*>),session opened for user <*> by (uid=<*>),session opened for user <*> by (uid=<*>),session opened for user <*> by (uid=<*>),session opened for user <*> by (uid=<*>),session opened for user <*> by <*> <*> <*>
18,Jun,15,04:12:43,combo,su(pam_unix),22644.0,session closed for user news,E101,session closed for user <*>,session closed for user {user},149,8,session closed for user {username},150,8,session closed for user {user},149,8,session closed for user {username},150,8,session closed for user {username},150,8,session closed for user {username},150,8,session closed for user <*>,session closed for user <*>,session closed for user <*>,session closed for user <*>,session closed for user <*>,session closed for user <*>
19,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
20,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},182,34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,183,39,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},182,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},183,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},184,35,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},184,35,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
21,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
22,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},182,34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,183,39,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},182,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},183,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},184,35,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},184,35,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
23,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
24,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E16,authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},182,34,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,183,39,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},182,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},183,34,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},184,35,authentication failure; logname= uid={uid} euid={euid} tty=NODEVssh ruser= rhost={rhost},184,35,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>,authentication failure; logname= uid=<*> euid=<*> tty=NODEVssh ruser= rhost=<*>
25,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,check pass; user unknown,E27,check pass; user unknown,check pass; user unknown,149,6,check pass; username={username},150,8,check pass; user={user} unknown,149,9,check pass; user {user},150,8,check pass; user {user},150,8,check pass; user={user},150,8,check pass; user unknown,check pass; username=<*>,check pass; user=<*> unknown,check pass; user <*>,check pass; user <*>,check pass; user=<*>
