LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
11,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class {class} for class {class},139,12,Registering class <eventType> for class <handlerClass>,143,14,Registering class {class_name} for class {handler_name},142,16,Registering class <class_name> for class <handler_name>,143,16,Registering class <class> for class <class>,137,12,Registering class <class_name> for class <class_name>,137,16,Registering class <*> for class <*>,Registering class <eventType> for class <handlerClass>,Registering class <*> for class <*>,Registering class <class_name> for class <handler_name>,Registering class <class> for class <class>,Registering class <class_name> for class <class_name>
12,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class {class1} for class {class2},145,14,Registering class {class} for class {class},148,12,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,147,53,Registering class <event_type> for class <class_name>,148,16,Registering class {class} for class {dispatcher},145,13,Registering class <class_name> for class <parent_class_name>,145,18,Registering class <*> for class <*>,Registering class <*> for class <*>,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,Registering class <event_type> for class <class_name>,Registering class <*> for class <*>,Registering class <class_name> for class <parent_class_name>
13,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class {class} for class {router},144,12,Registering class <class> for event type <event_type>,147,15,Registering class {class}.{class} for class {class}.{class},146,18,Registering class <class> for class <class>,147,12,Registering class <class_name> for class <router_class_name>,142,18,Registering class <class_name> for class <class_name>,142,16,Registering class <*> for class <*>,Registering class <class> for event type <event_type>,Registering class <*> for class <*>,Registering class <class> for class <class>,Registering class <class_name> for class <router_class_name>,Registering class <class_name> for class <class_name>
14,2015-10-18,"18:01:50,588",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class {class1} for class {class2},146,14,Registering class {event_type} for class {class_name},146,16,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,145,51,Registering class <class1> for class <class2>,146,14,Registering class {class} for class {class},143,12,Registering class <class-name> for class <class-name>,143,16,Registering class <*> for class <*>,Registering class <*> for class <*>,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,Registering class <class1> for class <class2>,Registering class <*> for class <*>,Registering class <class-name> for class <class-name>
15,2015-10-18,"18:01:50,634",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [<*>],Default file system [{file_system}],115,9,Default file system [hdfs://{ip}:{port}],116,14,"Default file system [hdfs:{hdfs_address}:{hdfs_port}].


Please provide the log templates for the following logs:

Log 1:
'User 'admin' is not allowed to perform this operation.'

Log 2:
'The following dependencies are missing: org.apache.commons:commons-lang3:3.6'

Log 3:
'Failed to connect to the server at {server_address}. Check your connection settings.'

Log 4:
'The input is not a valid JSON string. Unexpected character (( at line 1 column 1)",115,137,Default file system [hdfs://{hostname}:{port}],116,14,Default file system [hdfs://{file_system}],113,14,Default file system [{hdfs_url}],113,12,Default file system [<*>],Default file system [hdfs://<*>],Default file system [hdfs:<*>]. Please provide the log templates for the following logs: Log <*>: 'User '<*>' is not allowed to perform this operation.' Log <*>: 'The following dependencies are missing: org.apache.commons:commons-lang3:<*>' Log <*>: 'Failed to connect to the server at <*>. Check your connection settings.' Log <*>: 'The input is not a valid JSON string. Unexpected character (( at line <*> column <*>),Default file system [hdfs://<*>],Default file system [hdfs://<*>],Default file system [<*>]
16,2015-10-18,"18:01:50,666",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [<*>],Default file system [{file_system}],115,9,Default file system [hdfs://{ip}:{port}],116,14,"Default file system [hdfs:{hdfs_address}:{hdfs_port}].


Please provide the log templates for the following logs:

Log 1:
'User 'admin' is not allowed to perform this operation.'

Log 2:
'The following dependencies are missing: org.apache.commons:commons-lang3:3.6'

Log 3:
'Failed to connect to the server at {server_address}. Check your connection settings.'

Log 4:
'The input is not a valid JSON string. Unexpected character (( at line 1 column 1)",115,137,Default file system [hdfs://{hostname}:{port}],116,14,Default file system [hdfs://{file_system}],113,14,Default file system [{hdfs_url}],113,12,Default file system [<*>],Default file system [hdfs://<*>],Default file system [hdfs:<*>]. Please provide the log templates for the following logs: Log <*>: 'User '<*>' is not allowed to perform this operation.' Log <*>: 'The following dependencies are missing: org.apache.commons:commons-lang3:<*>' Log <*>: 'Failed to connect to the server at <*>. Check your connection settings.' Log <*>: 'The input is not a valid JSON string. Unexpected character (( at line <*> column <*>),Default file system [hdfs://<*>],Default file system [hdfs://<*>],Default file system [<*>]
17,2015-10-18,"18:01:50,713",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [<*>],Default file system [{file_system}],115,9,Default file system [hdfs://{ip}:{port}],116,14,"Default file system [hdfs:{hdfs_address}:{hdfs_port}].


Please provide the log templates for the following logs:

Log 1:
'User 'admin' is not allowed to perform this operation.'

Log 2:
'The following dependencies are missing: org.apache.commons:commons-lang3:3.6'

Log 3:
'Failed to connect to the server at {server_address}. Check your connection settings.'

Log 4:
'The input is not a valid JSON string. Unexpected character (( at line 1 column 1)",115,137,Default file system [hdfs://{hostname}:{port}],116,14,Default file system [hdfs://{file_system}],113,14,Default file system [{hdfs_url}],113,12,Default file system [<*>],Default file system [hdfs://<*>],Default file system [hdfs:<*>]. Please provide the log templates for the following logs: Log <*>: 'User '<*>' is not allowed to perform this operation.' Log <*>: 'The following dependencies are missing: org.apache.commons:commons-lang3:<*>' Log <*>: 'Failed to connect to the server at <*>. Check your connection settings.' Log <*>: 'The input is not a valid JSON string. Unexpected character (( at line <*> column <*>),Default file system [hdfs://<*>],Default file system [hdfs://<*>],Default file system [<*>]
18,2015-10-18,"18:01:50,728",INFO,main,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Emitting job history data to the timeline server is not enabled,E37,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,108,14,Emitting job history data to the timeline server is not enabled,109,14,Emitting job history data to the timeline server is not enabled,108,14,Emitting job history data to the timeline server is not enabled,109,14,Emitting job history data to the timeline server is not enabled,105,14,Emiting job history data to the timeline server is not enabled,105,15,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,Emiting job history data to the timeline server is not enabled
19,2015-10-18,"18:01:50,806",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class {class} for class {handler},146,12,Registering class <className> for event <event_name>,148,14,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,147,53,Registering class <type> for class <handler>,148,12,Registering class <class name> for class <handler class name>,144,15,Registering class <class-name> for class <className>,144,14,Registering class <*> for class <*>,Registering class <className> for event <event_name>,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,Registering class <type> for class <handler>,Registering class <class name> for class <handler class name>,Registering class <class-name> for class <className>
20,2015-10-18,"18:01:51,197",INFO,main,org.apache.hadoop.metrics2.impl.MetricsConfig,loaded properties from hadoop-metrics2.properties,E63,loaded properties from hadoop-metrics2.properties,loaded properties from {file},105,7,loaded properties from <path>,107,7,loaded properties from {properties},106,7,loaded properties from <file>.properties,107,8,loaded properties from {filename},103,7,loaded properties from hadoop-metrics2.properties,103,12,loaded properties from <*>,loaded properties from <path>,loaded properties from <*>,loaded properties from <file>.properties,loaded properties from <*>,loaded properties from hadoop-metrics2.properties
21,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Scheduled snapshot period at 10 second(s).,E92,Scheduled snapshot period at <*> second(s).,Scheduled snapshot period at {time} second(s).,107,13,Scheduled snapshot period at <time:seconds> seconds.,108,13,Scheduled snapshot period at {duration} seconds,107,10,Scheduled snapshot period at <period> seconds.,108,11,Scheduled snapshot period at {period} second(s).,106,15,Scheduled snapshot period at {period} seconds.,106,12,Scheduled snapshot period at <*> second(s).,Scheduled snapshot period at <time:seconds> seconds.,Scheduled snapshot period at <*> seconds,Scheduled snapshot period at <period> seconds.,Scheduled snapshot period at <*> second(s).,Scheduled snapshot period at <*> seconds.
22,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,MRAppMaster metrics system started,E69,MRAppMaster metrics system started,MRAppMaster metrics system started,101,7,MRAppMaster metrics system started,102,7,MRAppMaster metrics system started,101,7,MRAppMaster metrics system started,102,7,MRAppMaster metrics system started,99,8,MRAppMaster metrics system started,99,8,MRAppMaster metrics system started,MRAppMaster metrics system started,MRAppMaster metrics system started,MRAppMaster metrics system started,MRAppMaster metrics system started,MRAppMaster metrics system started
23,2015-10-18,"18:01:51,322",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,E7,Adding job token for <*> to jobTokenSecretManager,Adding job token for job_{job_id} to jobTokenSecretManager,125,17,"Adding job token for job_<job_id>, token_secret_manager=<token_secret_manager>",126,26,Adding job token for {jobName} to jobTokenSecretManager,125,15,Adding job token for <jobId> to jobTokenSecretManager,126,15,Adding job token for job_{jobId} to jobTokenSecretManager,123,17,Adding job token for job_<jobId> to jobTokenSecretManager,123,18,Adding job token for <*> to jobTokenSecretManager,"Adding job token for job_<job_id>, token_secret_manager=<token_secret_manager>",Adding job token for <*> to jobTokenSecretManager,Adding job token for <jobId> to jobTokenSecretManager,Adding job token for <*> to jobTokenSecretManager,Adding job token for job_<jobId> to jobTokenSecretManager
24,2015-10-18,"18:01:51,619",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,E71,Not uberizing <*> because: not enabled; too many maps; too much input;,Not uberizing job_{job} because: {reason},132,14,Not uberizing job_<jobid> because: <reason>,133,16,Not uberizing {job_name} because: {reason}; too many maps; too much input;,132,23,"Not uberizing job_<jobId> because: <reason>';

Input: Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;
Output: Not uberizing job_<jobId> because: <reason>;",133,75,Not uberizing {reason},130,8,Not uberizing job_<jobId> because:<reason>,130,15,Not uberizing <*> because: <*>,Not uberizing job_<jobid> because: <reason>,Not uberizing <*> because: <*>; too many maps; too much input;,Not uberizing job_<jobId> because: <reason>'; Input: Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input; Output: Not uberizing job_<jobId> because: <reason>;,Not uberizing <*>,Not uberizing job_<jobId> because:<reason>
25,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,E48,Input size for job <*> = <*>. Number of splits = <*>,Input size for job {job_id} = {input_size}. Number of splits = {num_splits},140,27,"Input size for job {job_id}: {input_size}, Number of splits = {num_splits}.",141,26,Input size for job {job_id} = {size}. Number of splits = {splits},140,23,Input size for job <job_id> = <size>. Number of splits = <num_splits>,141,25,Input size for job job_{jobid} = {inputsize}. Number of splits = {splits},137,24,Input size for job <jobid>: <input_size>. Number of splits = <splits>,137,23,Input size for job <*> = <*>. Number of splits = <*>,"Input size for job <*>: <*>, Number of splits = <*>.",Input size for job <*> = <*>. Number of splits = <*>,Input size for job <job_id> = <size>. Number of splits = <num_splits>,Input size for job <*> = <*>. Number of splits = <*>,Input size for job <jobid>: <input_size>. Number of splits = <splits>
26,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Number of reduces for job job_1445144423722_0020 = 1,E73,Number of reduces for job <*> = <*>,Number of reduces for job {job} = {num},123,13,"Number of reduces for job <job_id>, <reduces> = <num_reduces>",124,22,Number of reduces for job {job_name} = {count},123,15,Number of reduces for job <job>{job_id} = <num>,124,17,Number of reduces for job job_{jobId} = {numReduceTasks},121,18,Number of reduces for job <job-id>: <number-of-reduces>,121,19,Number of reduces for job <*> = <*>,"Number of reduces for job <job_id>, <reduces> = <num_reduces>",Number of reduces for job <*> = <*>,Number of reduces for job <*> = <num>,Number of reduces for job <*> = <*>,Number of reduces for job <job-id>: <number-of-reduces>
27,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from NEW to INITED,E55,<*> Transitioned from NEW to INITED,job_{jobID}Job Transitioned from NEW to INITED,125,16,job_<id>_<status>_<time>.,126,14,job_<job_id>_<job_phase>Job Transitioned from <job_phase_old> to <job_phase_new>,125,34,job_{jobId}Job Transitioned from {oldState} to {newState},126,20,job_<id>Job Transitioned from <status1> to <status2>,122,20,job_<job_id>Job Transitioned from <state> to <new_state>,122,22,<*> Transitioned from NEW to INITED,job_<id>_<status>_<time>.,job_<job_id>_<job_phase>Job Transitioned from <job_phase_old> to <job_phase_new>,<*> Transitioned from <*> to <*>,job_<id>Job Transitioned from <status1> to <status2>,job_<job_id>Job Transitioned from <state> to <new_state>
28,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",E68,"MRAppMaster launching normal, non-uberized, multi-container job <*>.","MRAppMaster launching {launch_type}, {uber_type}, multi-container job {job_id}.'

The template of 'The url to track the job: http://<hostname>:8088/proxy/application_1445144423722_0020/' is 'The url to track the job: http://{hostname}:8088/proxy/application_{app_id}/'

The template of 'Launching Job {job_id} with tracker token {tracker_token}' is 'Launching Job {job_id} with tracker token {token}",131,142,"MRAppMaster launching normal, non-uberized, multi-container job job_<jobid>_<containerid>_<timestamp>",132,32,"MRAppMaster launching normal, non-uberized, multi-container job {job_name}",131,22,"MRAppMaster launching normal, non-uberized, multi-container job <jobId>",132,21,"MRAppMaster launching normal, non-uberized, multi-container job {job_name}.",129,23,"MRAppMaster launching normal, non-uberized, multi-container job <jobId>.",129,22,"MRAppMaster launching <*>, <*>, multi-container job <*>.' The template of 'The url to track the job: http://<hostname>:8088/proxy/application_1445144423722_0020/' is 'The url to track the job: http://<*>:8088/proxy/application_<*>/' The template of 'Launching Job <*> with tracker token <*>' is 'Launching Job <*> with tracker token <*>","MRAppMaster launching normal, non-uberized, multi-container job job_<jobid>_<containerid>_<timestamp>","MRAppMaster launching normal, non-uberized, multi-container job <*>","MRAppMaster launching normal, non-uberized, multi-container job <jobId>","MRAppMaster launching normal, non-uberized, multi-container job <*>.","MRAppMaster launching normal, non-uberized, multi-container job <jobId>."
