LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
11,03-17,16:13:38.881,2227,2227,D,TextView,visible is system.message.count gt 0,E166,visible is <*> gt <*>,visible is {bool},112,6,"visible={bool}, system.message.count={int}, system.message.count gt 0={bool}",117,25,visible is system.message.count gt 0,116,12,visible is {expression},117,6,visible is {condition},114,6,visible is system.message.count gt {number},114,13,visible is <*>,"visible=<*>, system.message.count=<*>, system.message.count gt <*>=<*>",visible is system.message.count gt <*>,visible is <*>,visible is <*>,visible is system.message.count gt <*>
12,03-17,16:13:38.882,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is <*>,mVisiblity.getValue is {bool},110,12,mVisiblity.getValue={bool},115,11,mVisiblity.getValue is {bool},114,12,mVisibility.getValue is {boolean},115,9,mVisiblity.getValue is {bool},111,11,mVisiblity.getValue = {boolean},111,11,mVisiblity.getValue is <*>,mVisiblity.getValue=<*>,mVisiblity.getValue is <*>,mVisibility.getValue is <*>,mVisiblity.getValue is <*>,mVisiblity.getValue = <*>
13,03-17,16:13:38.887,2227,2227,D,TextView,visible is system.ownerinfo.show,E165,visible is <*>,visible is {string}.{string}.{string},109,12,"visible={bool}, ownerinfo.show={bool}",114,12,visible is {system.ownerinfo.show},113,11,visible is {string},114,6,visible is {string},111,6,visible is {boolean},111,6,visible is <*>,"visible=<*>, ownerinfo.show=<*>",visible is <*>,visible is <*>,visible is <*>,visible is <*>
14,03-17,16:13:38.888,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is <*>,mVisiblity.getValue is {bool},110,12,mVisiblity.getValue={bool},115,11,mVisiblity.getValue is {bool},114,12,mVisibility.getValue is {boolean},115,9,mVisiblity.getValue is {bool},111,11,mVisiblity.getValue = {boolean},111,11,mVisiblity.getValue is <*>,mVisiblity.getValue=<*>,mVisiblity.getValue is <*>,mVisibility.getValue is <*>,mVisiblity.getValue is <*>,mVisiblity.getValue = <*>
15,03-17,16:13:38.905,1702,10454,D,PowerManagerService,"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","release:lock={number}, flg={number}, tag={string}, name={string}, ws={string}, uid={number}, pid={number}",155,33,"release:lock={int}, flg={int}, tag=""{string}"", name=""{string}"", ws={string}, uid={int}, pid={int}",160,33,"release:lock=233570404, flg={int}, tag=""{string}"", name={string}, ws={string}, uid={int}, pid={int}",159,41,"release:lock={number}, flg={number}, tag=""{string}"", name=""{string}"", ws=null, uid={number}, pid={number}",160,33,"release:lock={int}, flg=0x{hex}, tag=""{string}"", name=""{string}"", ws=""{string}"", uid={int}, pid={int}",161,49,"release:lock={long}, flg={int}, tag={string}, name={string}, ws={object}, uid={integer}, pid={integer}",161,40,"release:lock=<*>, flg=<*>, tag=<*>, name=<*>, ws=<*>, uid=<*>, pid=<*>","release:lock=<*>, flg=<*>, tag=""<*>"", name=""<*>"", ws=<*>, uid=<*>, pid=<*>","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","release:lock=<*>, flg=<*>, tag=""<*>"", name=""<*>"", ws=<*>, uid=<*>, pid=<*>","release:lock=<*>, flg=<*>, tag=""<*>"", name=""<*>"", ws=""<*>"", uid=<*>, pid=<*>","release:lock=<*>, flg=<*>, tag=<*>, name=<*>, ws=<*>, uid=<*>, pid=<*>"
16,03-17,16:13:38.907,1702,10454,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number}userId={number}",172,66,"ready={bool}, policy={int}, wakefulness={int}, wksummary={hex}, uasummary={hex}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float} userId={int}",179,69,"ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number},userId={number}",178,68,"ready={bool}, policy={number}, wakefulness={number}, wksummary={number}, uasummary={number}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={number}, manual={number}, auto={number}, adj={number}, userId={number}",179,69,"ready={bool},policy={number},wakefulness={number},wksummary=0x{hex},uasummary=0x{hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number},userId={number}",174,84,"ready={bool}, policy={int}, wakefulness={int}, wksummary={int}, uasummary={int}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}, userId={int}",174,78,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*> userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>"
17,03-17,16:13:38.915,1702,3693,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,Skipping AppWindowToken{token={token}} -- going to hide,169,15,"Skipping AppWindowToken{token=Token{ActivityRecord{ActivityRecord{3b04890 u0 com.tencent.video.player.activity.PlayerActivity t761}}}}, going to hide",173,49,"Skipping AppWindowToken{token=Token{token}}, going to hide",172,17,Skipping AppWindowToken{id token=Token{id} ActivityRecord{id} u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t{id}} -- going to hide,173,53,Skipping AppWindowToken{token={string}} -- going to hide,169,16,AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}} -- going to hide,169,66,Skipping AppWindowToken{token=<*>} -- going to hide,"Skipping AppWindowToken{token=Token{ActivityRecord{<*>}}}, going to hide","Skipping AppWindowToken{token=<*>}, going to hide",Skipping AppWindowToken{id token=<*> <*> u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity <*>} -- going to hide,Skipping AppWindowToken{token=<*>} -- going to hide,AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}} -- going to hide
18,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0",E155,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",127,21,"updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",134,23,"updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",133,23,"updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",134,23,"updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",129,24,"updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",129,24,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
19,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false,E157,updateDimmedActivatedHideSensitive overlap:<*>,updateDimmedActivatedHideSensitive overlap:{bool},112,13,updateDimmedActivatedHideSensitive overlap:{bool},119,15,updateDimmedActivatedHideSensitive isOverlap:{bool},118,17,updateDimmedActivatedHideSensitive overlap:{bool},119,15,updateDimmedActivatedHideSensitive overlap:{bool},115,15,updateDimmedActivatedHideSensitive overlap:{bool},115,15,updateDimmedActivatedHideSensitive overlap:<*>,updateDimmedActivatedHideSensitive overlap:<*>,updateDimmedActivatedHideSensitive isOverlap:<*>,updateDimmedActivatedHideSensitive overlap:<*>,updateDimmedActivatedHideSensitive overlap:<*>,updateDimmedActivatedHideSensitive overlap:<*>
20,03-17,16:13:38.935,1702,3697,W,ActivityManager,getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller {int} does not hold REAL_GET_TASKS; limiting output,128,25,getRunningAppProcesses caller {number} does not hold REAL_GET_TASKS; limiting output,134,25,getRunningAppProcesses: {caller} does not hold REAL_GET_TASKS; limiting output,133,26,getRunningAppProcesses: caller {number} does not hold REAL_GET_TASKS; limiting output,134,26,getRunningAppProcesses: caller {number} does not hold REAL_GET_TASKS; limiting output,129,25,getRunningAppProcesses: caller {number} does not hold REAL_GET_TASKS; limiting output,129,25,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output
21,03-17,16:13:38.936,1702,14638,D,PowerManagerService,"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","release:lock={number}, flg=0x{hex}, tag={string}, name={string}, ws={WorkSource{number}}, uid={number}, pid={number}",158,39,"release:lock={int}, flg={int}, tag=""{string}"", name=""{string}"", ws={WorkSource}, uid={int}, pid={int}",162,34,"release:lock=lock{int}, flg=0x{hex}, tag=""{tag}"", name={string}, ws=WorkSource{int}, uid={int}, pid={int}",161,41,"release:lock={number}, flg={number}, tag=""{string}"", name=""{string}"", ws={object}, uid={number}, pid={number}",162,33,"release:lock={long}, flg={int}, tag=""{string}"", name=""{string}"", ws={string}, uid={int}, pid={int}",164,44,"release:lock={long}, flg={int}, tag={""*launch*""}, name=android"", ws={string}, uid={integer}, pid={integer}",164,43,"release:lock=<*>, flg=<*>, tag=<*>, name=<*>, ws={<*>}, uid=<*>, pid=<*>","release:lock=<*>, flg=<*>, tag=""<*>"", name=""<*>"", ws=<*>, uid=<*>, pid=<*>","release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","release:lock=<*>, flg=<*>, tag=""<*>"", name=""<*>"", ws=<*>, uid=<*>, pid=<*>","release:lock=<*>, flg=<*>, tag=""<*>"", name=""<*>"", ws=<*>, uid=<*>, pid=<*>","release:lock=<*>, flg=<*>, tag={""*launch*""}, name=android"", ws=<*>, uid=<*>, pid=<*>"
