LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
11,17/06/09,20:10:41,INFO,util.Utils,Successfully started service 'sparkExecutorActorSystem' on port 55904.,E34,Successfully started service 'sparkExecutorActorSystem' on port <*>.,"Successfully started service {service} on port {port}.'

The template of 'Received block manager message' is 'Received block manager message",89,31,Successfully started service {service} on port {port},90,13,Successfully started service {service} on port {port}.,89,13,Successfully started service '{serviceName}' on port {portNumber}.,90,15,Successfully started service '{serviceName}' on port {port},88,15,{systemName}: Successfully started service {serviceName} on port {portNumber},88,19,Successfully started service <*> on port <*>.' The template of 'Received block manager message' is 'Received block manager message,Successfully started service <*> on port <*>,Successfully started service <*> on port <*>.,Successfully started service '<*>' on port <*>.,Successfully started service '<*>' on port <*>,<*>: Successfully started service <*> on port <*>
12,17/06/09,20:10:41,INFO,storage.DiskBlockManager,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,E7,Created local directory at <*>,Created local directory at {local_directory},150,10,Created local directory at {directory},151,8,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_{{application_id}}/blockmgr-{{block_manager_id}}.,150,42,Created local directory at {directory},151,8,Created local directory at {path},150,8,Created local directory at {directory},150,8,Created local directory at <*>,Created local directory at <*>,Created local directory at <*>{<*>}<*>{<*>}.,Created local directory at <*>,Created local directory at <*>,Created local directory at <*>
13,17/06/09,20:10:41,INFO,storage.MemoryStore,MemoryStore started with capacity 17.7 GB,E18,MemoryStore started with capacity <*> GB,MemoryStore started with capacity {capacity} GB,81,10,MemoryStore started with capacity {capacity} GB,82,11,MemoryStore started with capacity {capacity} GB,81,11,MemoryStore started with capacity {capacity}.,82,10,MemoryStore started with capacity {capacity},80,9,MemoryStore started with capacity {capacity} GB,80,11,MemoryStore started with capacity <*> GB,MemoryStore started with capacity <*> GB,MemoryStore started with capacity <*> GB,MemoryStore started with capacity <*>.,MemoryStore started with capacity <*>,MemoryStore started with capacity <*> GB
14,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069,E6,Connecting to driver: <*>,Connecting to driver: spark://CoarseGrainedScheduler@{host}:{port},101,20,Connecting to driver: spark://{hostname}:{port},102,14,Connecting to driver: {host}:{port},101,12,Connecting to driver: spark://{driver}:{port},102,14,Connecting to driver: spark://{driver_host}:{port},101,16,Connecting to driver: spark://{driver}:{port},101,14,Connecting to driver: spark://CoarseGrainedScheduler@<*>,Connecting to driver: spark://<*>,Connecting to driver: <*>,Connecting to driver: spark://<*>,Connecting to driver: spark://<*>,Connecting to driver: spark://<*>
15,17/06/09,20:10:42,INFO,executor.CoarseGrainedExecutorBackend,Successfully registered with driver,E32,Successfully registered with driver,Successfully registered with driver,75,6,Successfully registered with driver {driver},76,9,Successfully registered with driver {driver},75,9,Successfully registered with driver,76,6,Successfully registered with driver,74,7,Successfully registered with driver {driver},74,9,Successfully registered with driver,Successfully registered with driver <*>,Successfully registered with driver <*>,Successfully registered with driver,Successfully registered with driver,Successfully registered with driver <*>
16,17/06/09,20:10:42,INFO,executor.Executor,Starting executor ID 5 on host mesos-slave-07,E30,Starting executor ID <*> on host <*>,Starting executor ID {executorId} on host {host},86,16,Starting executor ID {executor_id} on host {host},88,17,Starting executor ID {executorId} on host {hostName},87,17,Starting executor ID {executor_id} on host {host},88,17,Starting executor ID {executorID} on host {hostname},86,17,Starting executor {executorID} on host {hostname},86,16,Starting executor ID <*> on host <*>,Starting executor ID <*> on host <*>,Starting executor ID <*> on host <*>,Starting executor ID <*> on host <*>,Starting executor ID <*> on host <*>,Starting executor <*> on host <*>
17,17/06/09,20:10:42,INFO,util.Utils,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.,E33,Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.,"Successfully started service {service} on port {port}.'

The template of 'Received block command message {command}.' is 'Received block command message {command}.'

The template of 'Block broadcast_2 successfully sent to driver' is 'Block broadcast_{id} successfully sent to driver'

The template of 'Block rdd_3_13 successfully sent to driver' is 'Block rdd_{id}_{part} successfully sent to driver'

The template of 'Block rdd_3_13 successfully sent to 172.18.0.3:40984' is 'Block rdd_{id}_{part} successfully sent to {ip}:{port}'

The template of 'Block rdd_3_13 not sent, as the master has already been stopped' is 'Block rdd_{id}_{part} not sent, as the master has already been stopped'

The template of 'Block rdd_3_13 not sent, as the master has already been stopped' is 'Block rdd_{id}_{part} not sent, as the master has already been stopped'

The template of 'Block rdd_3_",101,256,Successfully started service {service_name} on port {port},102,15,"Successfully started service {service} on port {port}.'

You can use the following placeholders in your log templates:
- {variable}
- {service}
- {port}
- {address}
- {status}
- {error}
- {message}
- {time}
- {thread}

Note that the placeholders are case-sensitive, and you should not include any other characters in the placeholders.",101,102,Successfully started service '{service}' on port {port}.,102,14,Successfully started service '{service}' on port {port},100,14,Successfully started service '{serviceName}' on port {port},100,15,"Successfully started service <*> on port <*>.' The template of 'Received block command message <*>.' is 'Received block command message <*>.' The template of 'Block broadcast_2 successfully sent to driver' is 'Block <*> successfully sent to driver' The template of 'Block rdd_3_13 successfully sent to driver' is 'Block <*> successfully sent to driver' The template of 'Block rdd_3_13 successfully sent to <*>' is 'Block <*> successfully sent to <*>' The template of 'Block rdd_3_13 not sent, as the master has already been stopped' is 'Block <*> not sent, as the master has already been stopped' The template of 'Block rdd_3_13 not sent, as the master has already been stopped' is 'Block <*> not sent, as the master has already been stopped' The template of 'Block rdd_3_",Successfully started service <*> on port <*>,"Successfully started service <*> on port <*>.' You can use the following placeholders in your log templates: - <*> - <*> - <*> - <*> - <*> - <*> - <*> - <*> - <*> Note that the placeholders are case-sensitive, and you should not include any other characters in the placeholders.",Successfully started service '<*>' on port <*>.,Successfully started service '<*>' on port <*>,Successfully started service '<*>' on port <*>
18,17/06/09,20:10:42,INFO,netty.NettyBlockTransferService,Server created on 40984,E27,Server created on <*>,Server created on {timestamp},79,7,Server created on {number},80,7,Server created on {date},79,7,Server created on {port},80,7,Server created on {port},78,7,Server created on {server_id},78,9,Server created on <*>,Server created on <*>,Server created on <*>,Server created on <*>,Server created on <*>,Server created on <*>
19,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Trying to register BlockManager,E36,Trying to register BlockManager,Trying to register BlockManager,76,7,Trying to register BlockManager,77,7,Trying to register {object},76,8,Trying to register {object},77,8,Trying to register BlockManager for {host}:{port},75,14,Trying to register BlockManager {blockmanagerid},75,12,Trying to register BlockManager,Trying to register BlockManager,Trying to register <*>,Trying to register <*>,Trying to register BlockManager for <*>,Trying to register BlockManager <*>
20,17/06/09,20:10:42,INFO,storage.BlockManagerMaster,Registered BlockManager,E21,Registered BlockManager,Registered BlockManager,74,5,Registered BlockManager,75,5,Registered BlockManager {block_manager},74,10,Registered BlockManager,75,5,Registered BlockManager {host}:{port},73,11,"Registered BlockManager at address {address}, id {id}",73,15,Registered BlockManager,Registered BlockManager,Registered BlockManager <*>,Registered BlockManager,Registered BlockManager <*>,"Registered BlockManager at address <*>, id <*>"
21,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 0,E11,Got assigned task <*>,Got assigned task {task},76,8,Got assigned task {task_id},77,10,Got assigned task {task_id},76,10,Got assigned task {task_id},77,10,Got assigned task {taskId},75,9,Got assigned task {task_id},75,10,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>
22,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 1,E11,Got assigned task <*>,Got assigned task {task},76,8,Got assigned task {task},77,8,Got assigned task {task},76,8,Got assigned task {task},77,8,Got assigned task {taskId},75,9,Got assigned task {task},75,8,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>
23,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 2,E11,Got assigned task <*>,Got assigned task {task_id},76,10,Got assigned task {task},77,8,Got assigned task {task_name},76,10,Got assigned task {task_id},77,10,Got assigned task {taskId},75,9,Got assigned task {task},75,8,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>
24,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 3,E11,Got assigned task <*>,Got assigned task {task},76,8,Got assigned task {task},77,8,Got assigned task {task},76,8,Got assigned task {task},77,8,Got assigned task {task},75,8,Got assigned task {task},75,8,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>
25,17/06/09,20:10:45,INFO,executor.Executor,Running task 0.0 in stage 0.0 (TID 0),E24,Running task <*> in stage <*> (TID <*>),Running task {task_id}.{stage_id} in stage {stage_id}.{stage_id} (TID {task_id}),87,33,Running task {task_id}.{stage_index}.{total_tasks} in stage {stage_index}.{total_stages} (TID {tid}),88,37,Running task {task} in stage {stage} (TID {tid}),87,17,Running task {task_id}.{stage_id} in stage {stage_id} (TID {tid}),88,26,Running task {taskId}.{partitionId} in stage {stageId}.{attemptId} ({TID}),86,29,Running task {taskId} in stage {stageId} ({partition}),86,17,Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (<*>),Running task <*> in stage <*> (<*>)
26,17/06/09,20:10:45,INFO,executor.Executor,Running task 2.0 in stage 0.0 (TID 2),E24,Running task <*> in stage <*> (TID <*>),Running task {task_id}.{stage_id} in stage {stage_id}.{stage_id} (TID {TID}),87,32,Running task {task_id}.{stage}.{tid} in stage {stage} (TID {tid}),88,25,Running task {task} in stage {stage} (TID {tid}),87,17,Running task {task_id}.{stage_id} in stage {stage_id} (TID {tid}),88,26,Running task {task}.{stage}.{tid} in stage {stage}.{executorId},86,25,Running task {task} in stage {stage} (TID {tid}),86,18,Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*>,Running task <*> in stage <*> (TID <*>)
27,17/06/09,20:10:45,INFO,executor.Executor,Running task 1.0 in stage 0.0 (TID 1),E24,Running task <*> in stage <*> (TID <*>),Running task {task} in stage {stage} (TID {tid}),87,17,Running task 1.0 in stage {stage} (TID {tid}),88,18,Running task 1.0 in stage 0.0 (TID {task_id}),87,21,Running task {task}.{stage} in stage {tid},88,14,Running task {taskid}.{partition} in stage {stageid}.{attempt} ({executorid}),86,28,Running task {task} in stage {stage} (TID {tid}),86,18,Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*>,Running task <*> in stage <*> (<*>),Running task <*> in stage <*> (TID <*>)
28,17/06/09,20:10:45,INFO,executor.Executor,Running task 3.0 in stage 0.0 (TID 3),E24,Running task <*> in stage <*> (TID <*>),Running task {task_id}.{stage_id} in stage {stage_id}.{stage_id} (TID {task_id}),87,33,Running task {task_id}.{stage}.{tid} in stage {stage},88,19,Running task {task} in stage {stage} (TID {tid}),87,17,Running task {task_id}.{stage_id} in stage {stage_id} (TID {tid}),88,26,Running task {task_id}.{task_version} in stage {stage_id}.{stage_version} (TID {thread_id}),86,36,Running task {task_id} in stage {stage_id} (TID {tid}),86,22,Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*>,Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (TID <*>)
29,17/06/09,20:10:45,INFO,executor.CoarseGrainedExecutorBackend,Got assigned task 4,E11,Got assigned task <*>,Got assigned task {task},76,8,Got assigned task {task_id},77,10,Got assigned task {task},76,8,Got assigned task {task_id},77,10,Got assigned task {task_id},75,10,Got assigned task {task_id},75,10,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>,Got assigned task <*>
30,17/06/09,20:10:45,INFO,executor.Executor,Running task 4.0 in stage 0.0 (TID 4),E24,Running task <*> in stage <*> (TID <*>),Running task {task_id}.0 in stage {stage_id}.0 (TID {task_id}),87,25,Running task {task_id}.{stage}.{tid} in {job_name},88,20,Running task {task} in stage {stage} (TID {tid}),87,17,Running task {task_id}.{stage} in stage {tid} ({pid}),88,19,Running task {task_id}.{partition_id} in stage {stage_id}.{stage_attempt_number} (TID {thread_id}),86,39,Running task {task} in stage {stage} (TID {tid}),86,18,Running task <*> in stage <*> (TID <*>),Running task <*> in <*>,Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (<*>),Running task <*> in stage <*> (TID <*>),Running task <*> in stage <*> (TID <*>)
31,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Started reading broadcast variable 9,E29,Started reading broadcast variable <*>,Started reading broadcast variable {variable},77,9,Started reading broadcast variable 9,78,8,Started reading broadcast variable {variable},77,9,Started reading broadcast variable {variable},78,9,Started reading broadcast variable {variable},76,9,Started reading broadcast variable {variable},76,9,Started reading broadcast variable <*>,Started reading broadcast variable <*>,Started reading broadcast variable <*>,Started reading broadcast variable <*>,Started reading broadcast variable <*>,Started reading broadcast variable <*>
32,17/06/09,20:10:45,INFO,storage.MemoryStore,"Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)",E2,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block broadcast_{variable}_piece0 stored as bytes in memory (estimated size {size} {unit}, free {free} {unit})",100,30,"Block broadcast_9_piece0 stored as bytes in memory (estimated size {size}, free {free})",103,26,"Block {piece_name} stored as bytes in memory (estimated size {estimated_size} KB, free {free_size} KB)",102,37,"Block {block_id}_piece{piece_num} stored as bytes in memory (estimated size {size}, free {free})",103,32,"Block broadcast_{variable}_piece{piece} stored as bytes in memory (estimated size {size}, free {free})",97,28,"Block broadcast_<variable>_piece<piece_index> stored as bytes in memory (estimated size <size>, free <free>)",97,32,"Block <*> stored as bytes in memory (estimated size <*> <*>, free <*> <*>)","Block broadcast_9_piece0 stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as bytes in memory (estimated size <*> KB, free <*> KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)","Block broadcast_<variable>_piece<piece_index> stored as bytes in memory (estimated size <size>, free <free>)"
33,17/06/09,20:10:45,INFO,broadcast.TorrentBroadcast,Reading broadcast variable 9 took 160 ms,E20,Reading broadcast variable <*> took <*> ms,Reading broadcast variable {variable} took {time} ms,82,13,Reading broadcast variable {variable} took {time_taken} ms,83,16,Reading broadcast variable {variable} took {time} ms,82,13,Reading broadcast variable {variable} took {time} ms,83,13,Reading broadcast variable {variable} took {time} ms,81,14,Reading broadcast variable {variable} took {time} ms,81,14,Reading broadcast variable <*> took <*> ms,Reading broadcast variable <*> took <*> ms,Reading broadcast variable <*> took <*> ms,Reading broadcast variable <*> took <*> ms,Reading broadcast variable <*> took <*> ms,Reading broadcast variable <*> took <*> ms
34,17/06/09,20:10:46,INFO,storage.MemoryStore,"Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)",E3,"Block <*> stored as values in memory (estimated size <*>, free <*>)","Block broadcast_{variable} stored as values in memory (estimated size {size}, free {free})",98,22,"Block broadcast_9 stored as values in memory (estimated size {size}, free {free})",100,22,"Block {block} stored as values in memory (estimated size {size} KB, free {free} KB)",99,28,"Block {block} stored as values in memory (estimated size {size} KB, free {free} KB)",100,28,"Block broadcast_{variable} stored as values in memory (estimated size {size} KB, free {free} KB)",95,26,"Block broadcast_{varName} stored as values in memory (estimated size {size}, free {free})",95,25,"Block <*> stored as values in memory (estimated size <*>, free <*>)","Block broadcast_9 stored as values in memory (estimated size <*>, free <*>)","Block <*> stored as values in memory (estimated size <*> KB, free <*> KB)","Block <*> stored as values in memory (estimated size <*> KB, free <*> KB)","Block <*> stored as values in memory (estimated size <*> KB, free <*> KB)","Block <*> stored as values in memory (estimated size <*>, free <*>)"
35,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_1 not found, computing it",E19,"Partition <*> not found, computing it","Partition {partition} of rdd_2 not found, computing it",82,15,"Partition rdd_2_1 not found, computing it",84,14,"Partition {partition_name} not found, computing it",83,13,"Partition {partition} not found, computing it",84,11,"Partition {partition} not found, computing it",82,12,"Partition {partition} not found, computing it",82,12,"Partition <*> of rdd_2 not found, computing it","Partition rdd_2_1 not found, computing it","Partition <*> not found, computing it","Partition <*> not found, computing it","Partition <*> not found, computing it","Partition <*> not found, computing it"
36,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_3 not found, computing it",E19,"Partition <*> not found, computing it","Partition {partition} not found, computing it",82,10,"Partition rdd_2_3 not found, computing it",84,14,"Partition {partition} not found, computing it",83,11,"Partition {partition} not found, computing it",84,11,"Partition {partitionId} not found, computing it",82,13,"Computing partition {partition} for key {key}, value {value}",82,17,"Partition <*> not found, computing it","Partition rdd_2_3 not found, computing it","Partition <*> not found, computing it","Partition <*> not found, computing it","Partition <*> not found, computing it","Computing partition <*> for key <*>, value <*>"
37,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_0 not found, computing it",E19,"Partition <*> not found, computing it","Partition {partition} not found, computing it",82,10,"Partition rdd_2_0 not found, computing it",84,14,"Partition {partition} not found, computing it",83,11,"Partition {partition} not found, computing it",84,11,"Partition {partitionId} not found, computing it",82,13,"Partition rdd_2_0 not found, computing it",82,15,"Partition <*> not found, computing it","Partition rdd_2_0 not found, computing it","Partition <*> not found, computing it","Partition <*> not found, computing it","Partition <*> not found, computing it","Partition rdd_2_0 not found, computing it"
38,17/06/09,20:10:46,INFO,spark.CacheManager,"Partition rdd_2_2 not found, computing it",E19,"Partition <*> not found, computing it","Partition {partition} not found, computing it",82,10,"Partition rdd_2_2 not found, computing it",84,14,"Partition {partition} not found, computing it",83,11,"Partition rdd_{id}_{partition} not found, computing it",84,16,"Partition {partition} not found, computing it",82,12,Computing partition {partitionId} of rdd {rddName},82,16,"Partition <*> not found, computing it","Partition rdd_2_2 not found, computing it","Partition <*> not found, computing it","Partition <*> not found, computing it","Partition <*> not found, computing it",Computing partition <*> of rdd <*>
