LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,token_num,j2_mid_output,j2_ultra_output,j2_mid_template,j2_ultra_template
11,03-17,16:13:38.881,2227,2227,D,TextView,visible is system.message.count gt 0,E166,visible is <*> gt <*>,100,"visible is:{bool}'
The template of 'updateClipping isOverlap:true, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","visible is system.message.count gt {number}'
The template of 'visible is system.message.count gt 0' is 'visible is system.message.count gt {number}'","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",of 'visible is system.message.count gt <*>' is 'visible is system.message.count gt <*>'
12,03-17,16:13:38.882,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is <*>,96,"{string}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",getValue={bool},"of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",getValue=<*>
13,03-17,16:13:38.887,2227,2227,D,TextView,visible is system.ownerinfo.show,E165,visible is <*>,96,"visible is:{bool}'
The template of 'visible is system.ownerinfo.show' is 'visible is:{bool}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",visible is {bool},of 'visible is system.ownerinfo.show' is 'visible is:<*>' The,visible is <*>
14,03-17,16:13:38.888,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is <*>,96,"{string}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",getValue={bool},"of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",getValue=<*>
15,03-17,16:13:38.905,1702,10454,D,PowerManagerService,"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",131,"release:lock={int}, flg={int}, tag={string}, name={string}, ws={null}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","release:lock={number}, flg={hex}, tag={string}, name={string}, ws={object}, uid={number}, pid={number}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
16,03-17,16:13:38.907,1702,10454,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",151,"ready:{bool}, policy={number}, wakefulness={number}, wksummary={number}, uasummary={number}, bootcompleted:{bool}, boostinprogress:{bool}, waitmodeenable:{bool}, mode:{bool}, manual={number}, auto={number}, adj={number}, userId={number}'
The template of '{message}' is '{message}","ready={bool},policy={number},wakefulness={number},wksummary={number},uasummary={number},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number},userId={number}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",of '<*>' is '<*>,"of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
17,03-17,16:13:38.915,1702,3693,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,144,"Skipping AppWindowToken{token=Token{ActivityRecord{u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",Skipping AppWindowToken{token=Token{activityRecord=ActivityRecord{u0=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t={number}}}} -- going to hide,"of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",Skipping AppWindowToken{token=Token{activityRecord=ActivityRecord{u0=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t=<*>}}} -- going to hide
18,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0",E155,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",111,"updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}'
The log message ""The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}'"" has two dynamic variables:

* 'isOverlap'
* 'getTopPadding'
* 'Translation'

The log message ""The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}'"" also has two dynamic variables:

* 'isOverlap'
* 'getTopPadding'
* 'Translation'","updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}'
updateClipping isOverlap: {bool}, getTopPadding: {number}, Translation: {number}","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>'"" has two dynamic variables: * 'isOverlap' * 'getTopPadding' * 'Translation' The log message ""The","updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>' updateClipping isOverlap: <*>, getTopPadding: <*>, Translation: <*>"
19,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false,E157,updateDimmedActivatedHideSensitive overlap:<*>,99,"updateDimmedActivatedHideSensitive overlap:{bool}
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",updateDimmedActivatedHideSensitive overlap:{bool},"of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",updateDimmedActivatedHideSensitive overlap:<*>
20,03-17,16:13:38.935,1702,3697,W,ActivityManager,getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,109,getRunningAppProcesses: caller={int} does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses:{caller} 10113 does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses: caller=<*> does not hold REAL_GET_TASKS; limiting output,getRunningAppProcesses:<*> <*> does not hold REAL_GET_TASKS; limiting output
21,03-17,16:13:38.936,1702,14638,D,PowerManagerService,"release:lock=189667585, flg=0x0, tag=""*launch*"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",132,"release:lock={int}, flg={int}, tag=""*launch*"", name={string}, ws={string}, uid={int}, pid={int}'
The template of '{message}' is '{message}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","release:lock={number}, flg={hex}, tag=""
*launch*"", name={string}, ws=WorkSource{id}, uid={number}, pid={number}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",of '<*>' is '<*>' The,"of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
22,03-17,16:13:38.938,1702,14638,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",151,"ready:{bool}, policy={number}, wakefulness={number}, wksummary={number}, uasummary={number}, bootcompleted:{bool}, boostinprogress:{bool}, waitmodeenable:{bool}, mode:{bool}, manual={number}, auto={number}, adj={number}, userId={number}'
The template of '{message}' is '{message}","ready={bool},policy={number},wakefulness={number},wksummary={number},uasummary={number},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number},userId={number}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",of '<*>' is '<*>,"of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
23,03-17,16:13:38.954,2227,2227,I,PhoneStatusBar,"setSystemUiVisibility vis=40000500 mask=ffffffff oldVal=508 newVal=40000500 diff=40000008 fullscreenStackVis=0 dockedStackVis=0, fullscreenStackBounds=Rect(0, 0 - 720, 1280), dockedStackBounds=Rect(0, 0 - 0, 0)",E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",164,"setSystemUiVisibility vis={int} mask={int} oldVal={int} newVal={int} diff={int} fullscreenStackVis={int} dockedStackVis={int} dockedStackBounds={Rect}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","setSystemUiVisibility vis={int} mask={hex} oldVal={int} newVal={int} diff={int} fullscreenStackVis={int} dockedStackVis={int}
fullscreenStackBounds={Rect} dockedStackBounds={Rect}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
24,03-17,16:13:38.955,2227,2227,I,PhoneStatusBar,cancelAutohide,E27,cancelAutohide,92,"cancelAutohide'
Based on the provided log message, we can abstract the dynamic variables and generate astatic log template:

```
updateClipping isOverlap:false, getTopPadding={number}, Translation={number}
cancelAutohide

```

In this template, the placeholders `{number}` and `{bool}` represent the dynamic variables that will be replaced at runtime with the actual values. This allows the log message to remain the same while allowing for flexibility in the values being logged.","cancelAutohide'
The template of 'updateClipping isOverlap:true, getTopPadding=555.0, Translation=-29.0' is
updateClipping isOverlap:true, getTopPadding:555.0, Translation:-29.0",":  updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*> cancelAutohide  In this","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is updateClipping isOverlap:<*>, getTopPadding:<*>, Translation:-<*>"
25,03-17,16:13:38.955,2227,2227,I,PhoneStatusBar,"notifyUiVisibilityChanged:vis=0x40000500, SystemUiVisibility=0x40000500",E84,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",107,"notifyUiVisibilityChanged:vis={int}, SystemUiVisibility={int}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","notifyUiVisibilityChanged:vis={hex}, SystemUiVisibility={hex}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap={bool}, getTopPadding={number}, Translation={number}","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap=<*>, getTopPadding=<*>, Translation=<*>"
26,03-17,16:13:38.994,1702,27365,I,WindowManager,Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>,E41,Destroying surface Surface(name=<*>) called by <*>,211,"Destroying surface Surface(name={name}) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>'
Based on the provided log message, the dynamic variables are:

* isOverlap
* getTopPadding
* Translation
* name","Destroying surface {SurfaceView} called by {method} android.view.IWindowSession$Stub.onTransact: {method} com.android.server.wm.Session.onTransact: {method} android.os.Binder.execTransact: {method} <bottom of call stack>
'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0'
'Destroying surface {SurfaceView} called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:942 com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:3407 com.android.server.wm.Session.performDeferredDestroy:225 android.view.IWindowSession$Stub.onTransact:398 com.android.server.wm.Session.onTransact:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call stack>'","Destroying surface Surface(name=<*>) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:<*> com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:<*> com.android.server.wm.Session.performDeferredDestroy:<*> android.view.IWindowSession$Stub.onTransact:<*> com.android.server.wm.Session.onTransact:<*> android.os.Binder.execTransact:<*> <bottom of call stack> <bottom of call stack>' Based on the provided log message, the dynamic variables are: * isOverlap * getTopPadding * Translation * name","Destroying surface <*> called by <*> android.view.IWindowSession$Stub.onTransact: <*> com.android.server.wm.Session.onTransact: <*> android.os.Binder.execTransact: <*> <bottom of call stack> 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' 'Destroying surface <*> called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:<*> com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:<*> com.android.server.wm.Session.performDeferredDestroy:<*> android.view.IWindowSession$Stub.onTransact:<*> com.android.server.wm.Session.onTransact:<*> android.os.Binder.execTransact:<*> <bottom of call stack> <bottom of call stack>'"
27,03-17,16:13:39.006,1702,2639,I,WindowManager,Destroying surface Surface(name=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroySurface:2060 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:913 com.android.server.wm.WindowState.destroyOrSaveSurface:2201 com.android.server.wm.WindowManagerService.tryStartExitingAnimation:3299 com.android.server.wm.WindowManagerService.relayoutWindow:3179 com.android.server.wm.Session.relayout:215 android.view.IWindowSession$Stub.onTransact:286 com.android.server.wm.Session.onTransact:136,E41,Destroying surface Surface(name=<*>) called by <*>,225,"Destroying surface Surface(name={string}) called by {caller} com.android.server.wm.WindowStateAnimator.destroySurface:{number} com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:{number} com.android.server.wm.WindowState.destroyOrSaveSurface:{number} com.android.server.wm.WindowManagerService.tryStartExitingAnimation:{number} com.android.server.wm.WindowManagerService.relayoutWindow:{number} com.android.server.wm.Session.relayout:{number} android.view.IWindowSession$Stub.onTransact:{number} com.android.server.wm.Session.onTransact:{number}'
Based on the provided log message, the dynamic variables are identified and abstracted as follows:

* '{bool}' represents a boolean value.
* '{number}' represents a numerical value.
* '{string}' represents a string value.
* '{caller}' represents a string value representing the caller of the destroying surface Surface(name={string}).
","Destroying surface Surface(name={string}) called by {string}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","Destroying surface Surface(name=<*>) called by <*> com.android.server.wm.WindowStateAnimator.destroySurface:<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:<*> com.android.server.wm.WindowState.destroyOrSaveSurface:<*> com.android.server.wm.WindowManagerService.tryStartExitingAnimation:<*> com.android.server.wm.WindowManagerService.relayoutWindow:<*> com.android.server.wm.Session.relayout:<*> android.view.IWindowSession$Stub.onTransact:<*> com.android.server.wm.Session.onTransact:<*>' Based on the provided log message, the dynamic variables are identified and abstracted as follows: * '<*>' represents a boolean value. * '<*>' represents a numerical value. * '<*>' represents a string value. * '<*>' represents a string value representing the caller of the destroying surface Surface(name=<*>).","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
28,03-17,16:13:39.010,1702,2639,D,PowerManagerService,"release:lock=62617001, flg=0x0, tag=""WindowManager"", name=android"", ws=WorkSource{10113}, uid=1000, pid=1702",E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",132,"release:{lock}, flg={flg}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}'
The template of '{message}' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","release:lock={number}, flg={hex}, tag={string}, name={string}, ws={WorkSource}, uid={number}, pid={number}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","of '<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
