LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,token_num,j2_mid_output,j2_ultra_output,j2_mid_template,j2_ultra_template
13,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,118,"Registering class {className} for class {parent}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Registering class {class} for class {superclass}'
The template of 'Removing container 0 from node 2' is 'Removing container {container} from node {node}'
The template of 'Allocated container 0 on node 2' is 'Allocated container {container} on node {node}'
The template of 'Removing container 0 from node 2' is 'Removing container {container} from node {node}'
The template of 'Allocated container 0 on node 2' is 'Allocated container {container} on node {node}'
The template of 'Recalculating schedule, headroom=<memory:0, vCores:-27>' is 'Recalculating schedule, headroom=<memory:{memory}, vCores:{core}","Registering class <*> for class <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",of 'Removing container <*> from node <*>' is 'Removing container <*> from node <*>' The
14,2015-10-18,"18:01:50,588",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,118,"Registering event type org.apache.hadoop.mapreduce.v2.app.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Registering class {class_name} for class {parent_class_name}'
Could you please provide me with the log message you would like me to abstract?","Registering event type org.apache.hadoop.mapreduce.v2.app.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",Registering class <*> for class <*>' Could you please provide me with the log message you would like me to abstract?
15,2015-10-18,"18:01:50,634",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [<*>],99,Default file system [hdfs://{host}:{port}],Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>],Default file system [hdfs://msra-sa-<*>]
16,2015-10-18,"18:01:50,666",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [<*>],99,Default file system [hdfs://{host}:{port}],Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>],Default file system [hdfs://msra-sa-<*>]
17,2015-10-18,"18:01:50,713",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],E31,Default file system [<*>],99,Default file system [hdfs://{host}:{port}],Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>],Default file system [hdfs://msra-sa-<*>]
18,2015-10-18,"18:01:50,728",INFO,main,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Emitting job history data to the timeline server is not enabled,E37,Emitting job history data to the timeline server is not enabled,93,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled
19,2015-10-18,"18:01:50,806",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,120,"Registering class {className} for class {handler}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for
class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler","Registering class <*> for class <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler
20,2015-10-18,"18:01:51,197",INFO,main,org.apache.hadoop.metrics2.impl.MetricsConfig,loaded properties from hadoop-metrics2.properties,E63,loaded properties from hadoop-metrics2.properties,93,"loaded properties from {file}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","loaded properties from {file}'
Could you please provide me with the log message you want me to process and abstract?","loaded properties from <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",loaded properties from <*>' Could you please provide me with the log message you want me to process and abstract?
21,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Scheduled snapshot period at 10 second(s).,E92,Scheduled snapshot period at <*> second(s).,95,"Snapshot period at 10 second(s).'
""Recalculating schedule, headroom={memory}, vCores={core}""

""Snapshot period at {snapshot_period}""",Scheduled snapshot period at {time} second(s).,"Snapshot period at <*> second(s).' ""Recalculating schedule, headroom=<*>, vCores=<*>"" ""Snapshot period at <*>",Scheduled snapshot period at <*> second(s).
22,2015-10-18,"18:01:51,306",INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,MRAppMaster metrics system started,E69,MRAppMaster metrics system started,90,"MRAppMaster metrics system started'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>",MRAppMaster metrics system started,"MRAppMaster metrics system started' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",MRAppMaster metrics system started
23,2015-10-18,"18:01:51,322",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Adding job token for job_1445144423722_0020 to jobTokenSecretManager,E7,Adding job token for <*> to jobTokenSecretManager,103,Adding job token for job_{job_id} to jobTokenSecretManager,Adding job token for job_<job_id>_<job_attempt> to jobTokenSecretManager,Adding job token for <*> to jobTokenSecretManager,Adding job token for job_<job_id>_<job_attempt> to jobTokenSecretManager
24,2015-10-18,"18:01:51,619",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Not uberizing job_1445144423722_0020 because: not enabled; too many maps; too much input;,E71,Not uberizing <*> because: not enabled; too many maps; too much input;,107,Not uberizing job_1{job_id} because: not enabled; too many maps; too much input;,Not uberizing job_<job_id>_<job_attempt> because: not enabled; too many maps; too much input;,Not uberizing <*> because: not enabled; too many maps; too much input;,Not uberizing job_<job_id>_<job_attempt> because: not enabled; too many maps; too much input;
25,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Input size for job job_1445144423722_0020 = 1256521728. Number of splits = 10,E48,Input size for job <*> = <*>. Number of splits = <*>,108,"Input size for job {job_id} = {input_size}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Input size for job job_1445144423722_0020 = {input_size}. Number of splits = {num_splits}'
The template of 'Recalculating schedule, headroom=<memory:0, vCores:-27>' is 'Recalculating schedule, headroom=<memory:{memory}, vCores:{core}","Input size for job <*> = <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>","of 'Recalculating schedule, headroom=<memory:<*>, vCores:-27>' is 'Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
26,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,Number of reduces for job job_1445144423722_0020 = 1,E73,Number of reduces for job <*> = <*>,100,"Number of reduces for job = {num_reduces}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>",Number of reduces for job job_1445144423722_0020 = {reduces},"Number of reduces for job = <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",Number of reduces for job job_1445144423722_0020 = <*>
27,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.JobImpl,job_1445144423722_0020Job Transitioned from NEW to INITED,E55,<*> Transitioned from NEW to INITED,101,"Job {job_id} Transitioned from {state_name} to {new_state_name}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","job_<job_id>_<job_name>Transitioned from NEW to INITED'
Could you please provide me with the log message you would like me to abstract?","Job <*> Transitioned from <*> to <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",job_<job_id>_<job_name>Transitioned from NEW to INITED' Could you please provide me with the log message you would like me to abstract?
28,2015-10-18,"18:01:51,650",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"MRAppMaster launching normal, non-uberized, multi-container job job_1445144423722_0020.",E68,"MRAppMaster launching normal, non-uberized, multi-container job <*>.",106,"MRAppMaster launching {job_name}, non-uberized, multi-container job.'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","MRAppMaster launching normal, non-uberized, multi-container job {job_id}.'
The template of 'Container killed by the application' is 'Container killed by the application","MRAppMaster launching <*>, non-uberized, multi-container job.' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",of 'Container killed by the application' is 'Container killed by the application
29,2015-10-18,"18:01:51,713",INFO,main,org.apache.hadoop.ipc.CallQueueManager,Using callQueue class java.util.concurrent.LinkedBlockingQueue,E110,Using callQueue class java.util.concurrent.LinkedBlockingQueue,96,"Using callQueue class java.util.concurrent.{queue}'
Recalculating schedule, headroom=<memory:0, vCores:-27>","Using callQueue class {queue}'
The template of 'Recalculating schedule, headroom=<memory:0, vCores:-27>' is 'Recalculating schedule, headroom=<memory:{memory}, vCores:{core}","Using callQueue class java.util.concurrent.<*>' Recalculating schedule, headroom=<memory:<*>, vCores:-27>","of 'Recalculating schedule, headroom=<memory:<*>, vCores:-27>' is 'Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
30,2015-10-18,"18:01:51,775",INFO,Socket Reader #1 for port 62260,org.apache.hadoop.ipc.Server,Starting Socket Reader #1 for port 62260,E98,Starting Socket Reader #<*> for port <*>,94,"Starting Socket Reader #1 for port <port>'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Starting Socket Reader #1 for port {port}'
Could you please provide me with the log message you would like me to abstract?","Starting Socket Reader #<*> for port <port>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",Starting Socket Reader #<*> for port <*>' Could you please provide me with the log message you would like me to abstract?
31,2015-10-18,"18:01:51,791",INFO,main,org.apache.hadoop.yarn.factories.impl.pb.RpcServerFactoryPBImpl,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,E9,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,100,Adding protocol {protocol} to the server,Adding protocol {protocol} to the server,Adding protocol <*> to the server,Adding protocol <*> to the server
32,2015-10-18,"18:01:51,791",INFO,main,org.apache.hadoop.mapreduce.v2.app.client.MRClientService,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121:62260,E49,Instantiated MRClientService at MININT-<*>,111,"Instantiated {service} at {host}:{port}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Instantiated MRClientService at {host}:{port}'
The template of 'Removing container 1e18a30c-e89e-11e8-9d
1-00000001-00000002-00000003-00000004' is 'Removing container {containerId}'
Could you please provide me with the log message that you would like me to identify and abstract the dynamic variables from?","Instantiated <*> at <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",of 'Removing container 1e18a30c-e89e-11e8-9d <*>-<*>-<*>-<*>-<*>' is 'Removing container <*>' Could you please provide me with the log message that you would like me to identify and abstract the dynamic variables from?
33,2015-10-18,"18:01:51,806",INFO,IPC Server Responder,org.apache.hadoop.ipc.Server,IPC Server Responder: starting,E51,IPC Server Responder: starting,90,IPC Server Responder: starting,IPC Server Responder: starting,IPC Server Responder: starting,IPC Server Responder: starting
34,2015-10-18,"18:01:51,806",INFO,IPC Server listener on 62260,org.apache.hadoop.ipc.Server,IPC Server listener on 62260: starting,E50,IPC Server listener on <*>: starting,93,IPC Server listener on {port}: starting,IPC Server listener on {port}: starting,IPC Server listener on <*>: starting,IPC Server listener on <*>: starting
35,2015-10-18,"18:01:51,885",INFO,main,org.mortbay.log,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,E64,Logging to <*>(org.mortbay.log) via <*>,111,"Logging to {logger} via {log}'
Recalculating schedule, headroom=<memory:0, vCores:-27>","Logging to {logger} via {log}'
Could you please provide me with the log message you would like me to identify and abstract the dynamic variables from?","Logging to <*> via <*>' Recalculating schedule, headroom=<memory:<*>, vCores:-27>",Logging to <*> via <*>' Could you please provide me with the log message you would like me to identify and abstract the dynamic variables from?
36,2015-10-18,"18:01:51,900",INFO,main,org.apache.hadoop.http.HttpRequestLog,Http request log for http.requests.mapreduce is not defined,E47,Http request log for http.requests.mapreduce is not defined,95,Http request log for {mapreduce} is not defined,Http request log for {method} is not defined,Http request log for <*> is not defined,Http request log for <*> is not defined
37,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),E5,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer2$QuotingInputFilter),106,Added global filter 'safety' (class={class}),Added global filter '{filter_name}' (class={filter_class}),Added global filter 'safety' (class=<*>),Added global filter '<*>' (class=<*>)
38,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,E3,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,113,Added filter {filter} (class={class}) to context mapreduce,Added filter {filter} (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,Added filter <*> (class=<*>) to context mapreduce,Added filter <*> (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce
39,2015-10-18,"18:01:51,916",INFO,main,org.apache.hadoop.http.HttpServer2,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,E4,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,112,Added filter {filter} (class=org.apache.hadoop.yarn.server.webproxy.amfilter.{class}) to context static,Added filter {filter} (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,Added filter <*> (class=org.apache.hadoop.yarn.server.webproxy.amfilter.<*>) to context static,Added filter <*> (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static
40,2015-10-18,"18:01:51,947",INFO,main,org.apache.hadoop.http.HttpServer2,adding path spec: /mapreduce/*,E8,adding path spec: <*>,93,adding path spec: /mapreduce/*,"adding path spec:{path}'
The template of 'Recalculating schedule, headroom=<memory:0, vCores:-27>' is 'Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",adding path spec: <*>,"of 'Recalculating schedule, headroom=<memory:<*>, vCores:-27>' is 'Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
41,2015-10-18,"18:01:51,947",INFO,main,org.apache.hadoop.http.HttpServer2,adding path spec: /ws/*,E8,adding path spec: <*>,92,adding path spec: /ws/*,"adding path spec:{path}'
The template of 'Recalculating schedule, headroom=<memory:0, vCores:-27>' is 'Recalculating schedule, headroom=<memory:{memory}, vCores:{core}",adding path spec: <*>,"of 'Recalculating schedule, headroom=<memory:<*>, vCores:-27>' is 'Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
42,2015-10-18,"18:01:51,963",INFO,main,org.apache.hadoop.http.HttpServer2,Jetty bound to port 62267,E52,Jetty bound to port <*>,91,"Bound to port {port}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>",Jetty bound to port {port},"Bound to port <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",Jetty bound to port <*>
43,2015-10-18,"18:01:51,963",INFO,main,org.mortbay.log,jetty-6.1.26,E53,jetty-<*>,91,"{package}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>",jetty-6.1.26,"<*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",jetty-<*>
44,2015-10-18,"18:01:52,088",INFO,main,org.mortbay.log,Extract jar:file:/D:/hadoop-2.6.0-localbox/share/hadoop/yarn/hadoop-yarn-common-2.6.0-SNAPSHOT.jar!/webapps/mapreduce to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,E43,Extract jar:file:<*> to <*>,169,Extract jar:file:{jar_file} to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,"Extract jar:file:/D:/hadoop-2
Recalculating schedule, headroom=<memory:0, vCores:-27>
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>",Extract jar:file:<*> to C:\Users\msrabi\AppData\Local\Temp\Jetty_0_0_0_0_62267_mapreduce____.8n7xum\webapp,"Extract jar:file:<*> Recalculating schedule, headroom=<memory:<*>, vCores:-27> Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
45,2015-10-18,"18:01:52,728",INFO,main,org.mortbay.log,Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:62267,E97,Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>,106,"Started {connectorName}@{ipAddress}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:{port}'
Could you please provide me with the log message you would like me to abstract?","Started <*>@<*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",Started HttpServer2$SelectChannelConnectorWithSafeStartup@<*>' Could you please provide me with the log message you would like me to abstract?
46,2015-10-18,"18:01:52,728",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Web app /mapreduce started at 62267,E113,Web app <*> started at <*>,94,"Web app {appName} started at {startTime}'
""Recalculating schedule, headroom=<memory:{memory}, vCores:{core}}""

""Web app {appName} started at {startTime}""",Web app /mapreduce started at {app_start},"Web app <*> started at <*>' ""Recalculating schedule, headroom=<memory:<*>, vCores:<*>}"" ""Web app <*> started at <*>",Web app <*> started at <*>
47,2015-10-18,"18:01:53,400",INFO,main,org.apache.hadoop.yarn.webapp.WebApps,Registered webapp guice modules,E88,Registered webapp guice modules,90,Registered webapp guice modules,Registered webapp guice modules,Registered webapp guice modules,Registered webapp guice modules
