LineId,Time,Component,Pid,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories={int},110,13,calculateCaloriesWithCache totalCalories={int},111,13,calculateCaloriesWithCache totalCalories={int},110,13,calculateCaloriesWithCache totalCalories={int},111,13,calculateCaloriesWithCache totalCalories={int},108,12,calculateCaloriesWithCache totalCalories={int},108,12,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>
26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude={int},107,13,calculateAltitudeWithCache totalAltitude={int},108,13,calculateAltitudeWithCache totalAltitude={int},107,13,calculateAltitudeWithCache totalAltitude={int},108,13,calculateAltitudeWithCache totalAltitude={int},105,12,{int} totalAltitude={int},105,10,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=<*>,<*> totalAltitude=<*>
27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,E47,REPORT : <*> <*> <*> <*>,REPORT : {int} {int} {int} {int},118,16,REPORT : {int} {int} {int} {int},119,16,REPORT : {int} {int} {int} {int},118,16,REPORT : {int} {int} {int} {int},119,16,REPORT : {int} {int} {int} {int},117,16,REPORT : {int} {int} {int} {int},117,16,REPORT : <*> <*> <*> <*>,REPORT : <*> <*> <*> <*>,REPORT : <*> <*> <*> <*>,REPORT : <*> <*> <*> <*>,REPORT : <*> <*> <*> <*>,REPORT : <*> <*> <*> <*>
28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,E42,onStandStepChanged <*>,onStandStepChanged {int},103,8,onStandStepChanged {int},104,8,onStandStepChanged {int},103,8,onStandStepChanged {int},104,8,onStandStepChanged {int},103,9,onStandStepChanged {int},103,9,onStandStepChanged <*>,onStandStepChanged <*>,onStandStepChanged <*>,onStandStepChanged <*>,onStandStepChanged <*>,onStandStepChanged <*>
29,20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,E39,onExtend:<*> <*> <*> <*>,onExtend:{long} {int} {int} {int},117,16,onExtend: {long} {int} {int} {int},118,17,onExtend: {int} {int} {int} {int},117,17,onExtend:{long} {int} {int} {int},118,16,onExtend:{long} {int} {int} {int},116,17,{int} {int} {int} {int},116,13,onExtend:<*> <*> <*> <*>,onExtend: <*> <*> <*> <*>,onExtend: <*> <*> <*> <*>,onExtend:<*> <*> <*> <*>,onExtend:<*> <*> <*> <*>,<*> <*> <*> <*>
30,20171223-22:15:31:142,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,getTodayTotalDetailSteps = {long}##{int}##{int}##{int}##{int}##{int},148,32,getTodayTotalDetailSteps : {long} {long} {long} {long} {long},150,25,getTodayTotalDetailSteps = {int} {int} {int} {int} {int} {int} {int},149,31,getTodayTotalDetailSteps = {int}##{int}##{int}##{int}##{int}##{int},150,33,getTodayTotalDetailSteps = {long}##{int}##{int}##{int}##{int}##{int},146,31,{timeStamp} {stepId} {userId} {taskId} {totalTaskId} {detailStepCount},146,27,getTodayTotalDetailSteps = <*>#<*><*><*><*>#<*>,getTodayTotalDetailSteps : <*> <*> <*> <*> <*>,getTodayTotalDetailSteps = <*> <*> <*> <*> <*> <*> <*>,getTodayTotalDetailSteps = <*>#<*><*><*><*>#<*>,getTodayTotalDetailSteps = <*>#<*><*><*><*>#<*>,<*> <*> <*> <*> <*> <*>
31,20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps={long}##{int}##{int}##{int}##{int}##{int},147,31,setTodayTotalDetailSteps=1514038440000##{int}##{int}##{int}##{int}##{int},149,43,setTodayTotalDetailSteps= {int} {int} {int} {int},148,22,setTodayTotalDetailSteps={int}##{int}##{int}##{int}##{int}##{int},149,32,setTodayTotalDetailSteps={long}##{int}##{int}##{int}##{int}##{int},145,30,{int} {int} {int} {int} {int} {int},145,19,setTodayTotalDetailSteps=<*>#<*><*><*><*>#<*>,setTodayTotalDetailSteps=<*>#<*><*><*><*>#<*>,setTodayTotalDetailSteps= <*> <*> <*> <*>,setTodayTotalDetailSteps=<*>#<*><*><*><*>#<*>,setTodayTotalDetailSteps=<*>#<*><*><*><*>#<*>,<*> <*> <*> <*> <*> <*>
32,20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories={int},110,13,calculateCaloriesWithCache totalCalories={int},111,13,calculateCaloriesWithCache totalCalories={int},110,13,calculateCaloriesWithCache totalCalories={int},111,13,calculateCaloriesWithCache totalCalories={int},108,12,{string} = {string},108,8,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>,<*> = <*>
33,20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude={int},107,13,calculateAltitudeWithCache totalAltitude={int},108,13,calculateAltitudeWithCache totalAltitude={int},107,13,calculateAltitudeWithCache totalAltitude={int},108,13,calculateAltitudeWithCache totalAltitude={int},105,12,{int} totalAltitude={int},105,10,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=<*>,calculateAltitudeWithCache totalAltitude=<*>,<*> totalAltitude=<*>
34,20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,E47,REPORT : <*> <*> <*> <*>,REPORT : {int} {int} {int} {int},118,16,REPORT : {int} {int} {int} {int},119,16,REPORT : {int} {int} {int} {int},118,16,REPORT : {int} {int} {int} {int},119,16,REPORT : {int} {int} {int} {int},117,16,REPORT : {int} {int} {int} {int},117,16,REPORT : <*> <*> <*> <*>,REPORT : <*> <*> <*> <*>,REPORT : <*> <*> <*> <*>,REPORT : <*> <*> <*> <*>,REPORT : <*> <*> <*> <*>,REPORT : <*> <*> <*> <*>
35,20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,E42,onStandStepChanged <*>,onStandStepChanged {int},103,8,onStandStepChanged {int},104,8,onStandStepChanged {int},103,8,onStandStepChanged {int},104,8,onStandStepChanged {int},103,9,onStandStepChanged {int},103,9,onStandStepChanged <*>,onStandStepChanged <*>,onStandStepChanged <*>,onStandStepChanged <*>,onStandStepChanged <*>,onStandStepChanged <*>
36,20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,E39,onExtend:<*> <*> <*> <*>,onExtend:{int} {int} {int} {int},117,16,onExtend: {int} {int} {int} {int},118,17,onExtend: {int} {int} {int} {int},117,17,onExtend:{long} {int} {int} {int},118,16,onExtend:{long} {int} {int} {int},116,17,onExtend:{long} {long} {long} {long},116,17,onExtend:<*> <*> <*> <*>,onExtend: <*> <*> <*> <*>,onExtend: <*> <*> <*> <*>,onExtend:<*> <*> <*> <*>,onExtend:<*> <*> <*> <*>,onExtend:<*> <*> <*> <*>
37,20171223-22:15:32:145,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461,E22,getTodayTotalDetailSteps = <*>##<*>##<*>##<*>##<*>##<*>,getTodayTotalDetailSteps = {long}##{int}##{int}##{int}##{int}##{int},148,32,getTodayTotalDetailSteps : {long} {long} {long} {long} {long} {long},150,28,getTodayTotalDetailSteps = {int}##{int}##{int}##{int}##{int}##{int},149,33,getTodayTotalDetailSteps = {int}##{int}##{int}##{int}##{int}##{int},150,33,getTodayTotalDetailSteps = {long}##{int}##{int}##{int}##{int}##{int},146,31,getTodayTotalDetailSteps = {string} {string} {string} {string} {string} {string},146,26,getTodayTotalDetailSteps = <*>#<*><*><*><*>#<*>,getTodayTotalDetailSteps : <*> <*> <*> <*> <*> <*>,getTodayTotalDetailSteps = <*>#<*><*><*><*>#<*>,getTodayTotalDetailSteps = <*>#<*><*><*><*>#<*>,getTodayTotalDetailSteps = <*>#<*><*><*><*>#<*>,getTodayTotalDetailSteps = <*> <*> <*> <*> <*> <*>
38,20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,E58,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps={long}##{int}##{int}##{int}##{int}##{int},147,31,setTodayTotalDetailSteps= {long} {long} {long} {long} {long},149,25,setTodayTotalDetailSteps={str},148,12,setTodayTotalDetailSteps={long}##{int}##{int}##{int}##{int}##{int},149,32,setTodayTotalDetailSteps={long}##{int}##{int}##{int}##{int}##{int},145,30,{int} {int} {int} {int} {int} {int},145,19,setTodayTotalDetailSteps=<*>#<*><*><*><*>#<*>,setTodayTotalDetailSteps= <*> <*> <*> <*> <*>,setTodayTotalDetailSteps=<*>,setTodayTotalDetailSteps=<*>#<*><*><*><*>#<*>,setTodayTotalDetailSteps=<*>#<*><*><*><*>#<*>,<*> <*> <*> <*> <*> <*>
39,20171223-22:15:32:156,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126882,E4,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories={int},110,13,calculateCaloriesWithCache totalCalories={int},111,13,calculateCaloriesWithCache totalCalories={int},110,13,calculateCaloriesWithCache totalCalories={int},111,13,{method} totalCalories={int},108,10,{string} = {int},108,8,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>,calculateCaloriesWithCache totalCalories=<*>,<*> totalCalories=<*>,<*> = <*>
